date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.600080,5.4100,5.6300,5.4100,5.6100,5053928,27958784.2600,3,1.655400,1,3.314900,128.405967,1.218563,3.132219,17.548986,1
2020-09-02,sh.600080,5.6100,5.7900,5.5700,5.7800,8899761,50746382.9100,3,2.915100,1,3.030300,132.297057,1.255489,3.227134,18.080774,1
2020-09-03,sh.600080,5.8500,5.9100,5.7500,5.8000,6546367,38188648.2600,3,2.144300,1,0.346000,132.754832,1.259834,3.238301,18.143337,1
2020-09-04,sh.600080,5.7400,5.9400,5.7200,5.8500,6180200,36108113.0000,3,2.024300,1,0.862100,133.899270,1.270694,3.266217,18.299745,1
2020-09-07,sh.600080,5.8100,6.1300,5.7900,6.1100,8473543,50946813.2000,3,2.775500,1,4.444400,139.850349,1.327170,3.411383,19.113067,1
2020-09-08,sh.600080,6.1700,6.4200,6.0800,6.4200,7524536,47065269.6600,3,2.464700,1,5.073600,146.945866,1.394505,3.584464,20.082797,1
2020-09-09,sh.600080,6.4500,6.7300,6.3200,6.7300,9483981,62200236.5200,3,3.106500,1,4.828700,154.041383,1.461841,3.757546,21.052527,1
2020-09-10,sh.600080,6.8000,6.9400,6.3900,6.3900,12413401,83217258.6500,3,4.066000,1,-5.052000,146.259203,1.387989,3.567714,19.988952,1
2020-09-11,sh.600080,6.2100,6.4000,6.0700,6.1000,11097928,68492885.1000,3,3.635100,1,-4.538300,139.621461,1.324997,3.405799,19.081785,1
2020-09-14,sh.600080,6.1500,6.4100,6.1500,6.4100,4548518,28750343.1600,3,1.489900,1,5.082000,146.716978,1.392333,3.578881,20.051515,1
2020-09-15,sh.600080,6.5300,6.7300,6.4900,6.5700,8944526,59456587.6600,3,2.929800,1,2.496100,150.379180,1.427087,3.668213,20.552021,1
2020-09-16,sh.600080,6.5100,6.6700,6.4300,6.4600,5590320,36678291.6800,3,1.831100,1,-1.674300,147.861416,1.403194,3.606797,20.207923,1
2020-09-17,sh.600080,6.4200,6.4200,6.1400,6.2900,5006198,31196059.9800,3,1.639800,1,-2.631600,143.970326,1.366268,3.511882,19.676136,1
2020-09-18,sh.600080,6.5000,6.5900,6.4100,6.4200,3358140,21741879.1200,3,1.100000,1,2.066800,146.945866,1.394505,3.584464,20.082797,1
2020-09-21,sh.600080,6.3300,6.4700,6.3000,6.3100,2090001,13314867.3500,3,0.684600,1,-1.713400,144.428102,1.370612,3.523048,19.738699,1
2020-09-22,sh.600080,6.3500,6.4500,6.3100,6.3800,1917591,12244125.4200,3,0.628100,1,1.109400,146.030315,1.385817,3.562131,19.957671,1
2020-09-23,sh.600080,6.4100,6.5800,6.3700,6.4400,3302031,21351638.3000,3,1.081600,1,0.940400,147.403641,1.398850,3.595631,20.145360,1
2020-09-24,sh.600080,6.5300,6.5300,6.3500,6.4500,3426600,22127405.0000,3,1.122400,1,0.155300,147.632529,1.401022,3.601214,20.176642,1
2020-09-25,sh.600080,6.5100,6.5100,6.3700,6.4700,2555241,16484803.2200,3,0.837000,1,0.310100,148.090304,1.405366,3.612381,20.239205,1
2020-09-28,sh.600080,6.5400,6.6400,6.2100,6.4500,6352514,41465434.9000,3,2.080800,1,-0.309100,147.632529,1.401022,3.601214,20.176642,1
2020-09-29,sh.600080,6.4600,6.5600,6.3200,6.4800,3723198,23936573.3400,3,1.219500,1,0.465100,148.319192,1.407538,3.617964,20.270487,1
2020-09-30,sh.600080,6.4900,6.5200,6.4000,6.4100,989249,6379403.8600,3,0.324000,1,-1.080200,146.716978,1.392333,3.578881,20.051515,1
