date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.600081,11.3800,11.5600,11.2800,11.4900,3572677,40932955.9400,3,1.139400,1,1.055400,35.606374,2.598824,0.578611,62.484093,0
2020-09-02,sh.600081,11.5600,11.7000,11.4200,11.4600,4052902,46652714.0700,3,1.292500,1,-0.261100,35.513407,2.592039,0.577100,62.320949,0
2020-09-03,sh.600081,11.4900,11.5000,11.1200,11.1800,4087744,46037720.1700,3,1.303700,1,-2.443300,34.645715,2.528708,0.563000,60.798273,0
2020-09-04,sh.600081,11.0200,11.1800,11.0100,11.1600,2527051,28069385.7400,3,0.805900,1,-0.178900,34.583737,2.524185,0.561993,60.689510,0
2020-09-07,sh.600081,11.2100,11.4100,11.0400,11.1300,3190834,35861822.8900,3,1.017600,1,-0.268800,34.490770,2.517399,0.560482,60.526367,0
2020-09-08,sh.600081,11.1300,11.2600,11.0400,11.2200,2252639,25136240.5500,3,0.718400,1,0.808600,34.769671,2.537755,0.565015,61.015798,0
2020-09-09,sh.600081,11.1100,11.2400,11.0300,11.0700,2608398,29017470.2300,3,0.831900,1,-1.336900,34.304835,2.503828,0.557461,60.200079,0
2020-09-10,sh.600081,11.1000,11.1500,10.7000,10.7600,3969741,43562745.8500,3,1.266000,1,-2.800400,33.344176,2.433712,0.541850,58.514259,0
2020-09-11,sh.600081,10.7300,10.9000,10.6500,10.8100,1846500,19866019.0000,3,0.588900,1,0.464700,33.499121,2.445021,0.544368,58.786166,0
2020-09-14,sh.600081,10.8100,10.8900,10.7200,10.7800,2043621,22068763.5400,3,0.651700,1,-0.277500,33.406154,2.438236,0.542857,58.623022,0
2020-09-15,sh.600081,10.8000,11.2800,10.7300,11.2800,5905687,65358151.7200,3,1.883400,1,4.638200,34.955605,2.551326,0.568036,61.342086,0
2020-09-16,sh.600081,11.2900,12.0900,11.0400,11.1600,6412524,72670645.2300,3,2.045100,1,-1.063800,34.583737,2.524185,0.561993,60.689510,0
2020-09-17,sh.600081,11.1000,11.3200,10.9700,11.1600,3980544,44447409.7600,3,1.269500,1,0.000000,34.583737,2.524185,0.561993,60.689510,0
2020-09-18,sh.600081,11.2400,11.5100,11.1600,11.4500,5022935,57062180.9400,3,1.601900,1,2.598600,35.482418,2.589777,0.576597,62.266568,0
2020-09-21,sh.600081,11.5000,11.5500,11.3500,11.4700,3170754,36292351.7300,3,1.011200,1,0.174700,35.544396,2.594301,0.577604,62.375330,0
2020-09-22,sh.600081,11.4000,11.4000,11.0900,11.1200,2917127,32709860.7000,3,0.930300,1,-3.051400,34.459781,2.515137,0.559979,60.471985,0
2020-09-23,sh.600081,11.1700,11.2700,11.1500,11.2400,1951446,21908926.7900,3,0.622400,1,1.079100,34.831649,2.542279,0.566022,61.124561,0
2020-09-24,sh.600081,11.1300,11.2200,11.0200,11.0700,2183100,24206916.1600,3,0.696200,1,-1.512500,34.304835,2.503828,0.557461,60.200079,0
2020-09-25,sh.600081,11.0900,11.1600,10.9300,11.0500,1557421,17183698.1600,3,0.496700,1,-0.180700,34.242857,2.499305,0.556454,60.091316,0
2020-09-28,sh.600081,11.0400,11.0500,10.8700,10.9200,1112336,12176470.0400,3,0.354700,1,-1.176500,33.840000,2.469901,0.549907,59.384360,0
2020-09-29,sh.600081,10.9300,11.6800,10.8500,11.6000,9371257,106746578.4100,3,2.988700,1,6.227100,35.947253,2.623704,0.584151,63.082287,0
2020-09-30,sh.600081,11.5900,12.0600,11.0300,11.1200,9110848,103894374.0200,3,2.905600,1,-4.137900,34.459781,2.515137,0.559979,60.471985,0
