date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.600082,3.7500,3.7600,3.6700,3.7100,4254900,15773557.0000,3,0.670800,1,-1.329800,-125.337961,1.414011,5.626844,-47.727357,0
2020-09-02,sh.600082,3.7100,3.7300,3.6800,3.7200,3491200,12950784.0000,3,0.550400,1,0.269500,-125.675800,1.417822,5.642011,-47.856003,0
2020-09-03,sh.600082,3.7200,3.7200,3.6600,3.6700,3395500,12503483.0000,3,0.535300,1,-1.344100,-123.986609,1.398765,5.566177,-47.212777,0
2020-09-04,sh.600082,3.6300,3.6900,3.6000,3.6800,4007444,14628553.4800,3,0.631800,1,0.272500,-124.324447,1.402577,5.581344,-47.341422,0
2020-09-07,sh.600082,3.6800,3.7900,3.6500,3.7000,7882128,29473693.0400,3,1.242700,1,0.543500,-125.000123,1.410199,5.611677,-47.598712,0
2020-09-08,sh.600082,3.7300,3.8300,3.6800,3.8100,8397949,31809407.2000,3,1.324000,1,2.973000,-128.716343,1.452124,5.778511,-49.013809,0
2020-09-09,sh.600082,3.8000,3.8600,3.7500,3.7700,8371655,31902122.8000,3,1.319800,1,-1.049900,-127.364990,1.436879,5.717844,-48.499228,0
2020-09-10,sh.600082,3.7800,3.8000,3.5500,3.5600,11068227,40493969.2800,3,1.745000,1,-5.570300,-120.270389,1.356840,5.399344,-45.797680,0
2020-09-11,sh.600082,3.5500,3.6100,3.5200,3.5800,4981669,17718608.9500,3,0.785400,1,0.561800,-120.946065,1.364463,5.429677,-46.054970,0
2020-09-14,sh.600082,3.5800,3.6100,3.5400,3.5700,3207411,11473030.3500,3,0.505700,1,-0.279300,-120.608227,1.360652,5.414510,-45.926325,0
2020-09-15,sh.600082,3.5800,3.5800,3.5200,3.5500,3830200,13556790.0000,3,0.603900,1,-0.560200,-119.932551,1.353029,5.384177,-45.669035,0
2020-09-16,sh.600082,3.5600,3.5600,3.4800,3.4900,4252746,14944579.9000,3,0.670500,1,-1.690100,-117.905522,1.330161,5.293177,-44.897164,0
2020-09-17,sh.600082,3.5100,3.5400,3.4700,3.5100,3674654,12865577.3100,3,0.579300,1,0.573100,-118.581198,1.337784,5.323510,-45.154454,0
2020-09-18,sh.600082,3.5100,3.5500,3.5000,3.5300,4409292,15527033.7300,3,0.695200,1,0.569800,-119.256874,1.345406,5.353844,-45.411744,0
2020-09-21,sh.600082,3.5300,3.5700,3.5000,3.5600,4786110,16919273.3000,3,0.754600,1,0.849900,-120.270389,1.356840,5.399344,-45.797680,0
2020-09-22,sh.600082,3.5300,3.5600,3.4900,3.5100,4195718,14773690.4800,3,0.661500,1,-1.404500,-118.581198,1.337784,5.323510,-45.154454,0
2020-09-23,sh.600082,3.5100,3.5300,3.5000,3.5100,1904000,6685338.0000,3,0.300200,1,0.000000,-118.581198,1.337784,5.323510,-45.154454,0
2020-09-24,sh.600082,3.5000,3.5000,3.3600,3.3700,5956400,20330185.0000,3,0.939100,1,-3.988600,-113.851464,1.284425,5.111176,-43.353422,0
2020-09-25,sh.600082,3.3900,3.4000,3.3500,3.3800,3052800,10302980.0000,3,0.481300,1,0.296700,-114.189302,1.288236,5.126343,-43.482067,0
2020-09-28,sh.600082,3.3700,3.4000,3.3200,3.3200,2524210,8479772.5800,3,0.398000,1,-1.775100,-112.162273,1.265368,5.035343,-42.710196,0
2020-09-29,sh.600082,3.3300,3.3900,3.3300,3.3600,2164744,7266989.1100,3,0.341300,1,1.204800,-113.513625,1.280613,5.096010,-43.224777,0
2020-09-30,sh.600082,3.3500,3.3800,3.3300,3.3400,1860037,6245302.5800,3,0.293200,1,-0.595200,-112.837949,1.272991,5.065676,-42.967486,0
