date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.000007,4324.5737,4349.9404,4318.8419,4339.1676,1308913900,8193035323.1000,3,0.329546,1,1.504316,0.000000,0.000000,0.000000,0.000000,0
2020-10-12,sh.000007,4353.2559,4420.0491,4348.1153,4417.0946,2049017100,12911157409.9000,3,0.515810,1,1.795897,0.000000,0.000000,0.000000,0.000000,0
2020-10-13,sh.000007,4415.5964,4415.5964,4378.9825,4398.5437,1422358600,9150289453.0000,3,0.358058,1,-0.419980,0.000000,0.000000,0.000000,0.000000,0
2020-10-14,sh.000007,4392.8879,4393.0387,4356.8348,4370.1203,1509608900,9937067844.4000,3,0.380022,1,-0.646200,0.000000,0.000000,0.000000,0.000000,0
2020-10-15,sh.000007,4366.3465,4366.3465,4340.7322,4342.2557,1290390200,8622600683.0000,3,0.324837,1,-0.637616,0.000000,0.000000,0.000000,0.000000,0
2020-10-16,sh.000007,4340.5862,4358.2822,4332.6060,4343.4128,1320826300,8691668302.2000,3,0.332499,1,0.026647,0.000000,0.000000,0.000000,0.000000,0
2020-10-19,sh.000007,4354.7963,4379.7736,4325.2921,4332.5821,1450333400,8816987471.0000,3,0.365100,1,-0.249359,0.000000,0.000000,0.000000,0.000000,0
2020-10-20,sh.000007,4322.6311,4333.5148,4301.8301,4331.9720,1042228600,6627240023.4000,3,0.262366,1,-0.014082,0.000000,0.000000,0.000000,0.000000,0
2020-10-21,sh.000007,4330.1914,4335.2509,4305.7071,4333.5115,1442485200,9391191695.9000,3,0.363124,1,0.035538,0.000000,0.000000,0.000000,0.000000,0
2020-10-22,sh.000007,4319.7761,4319.7761,4285.5078,4297.2159,1179271900,8132621360.4000,3,0.296780,1,-0.837556,0.000000,0.000000,0.000000,0.000000,0
2020-10-23,sh.000007,4296.7750,4314.8562,4282.5132,4289.2894,1220509700,7632610332.7000,3,0.307158,1,-0.184457,0.000000,0.000000,0.000000,0.000000,0
2020-10-26,sh.000007,4293.5357,4293.5357,4262.9440,4278.3541,1219806700,7259743275.1000,3,0.306981,1,-0.254944,0.000000,0.000000,0.000000,0.000000,0
2020-10-27,sh.000007,4257.9453,4265.3120,4230.8204,4248.0756,1138519800,6714673032.1000,3,0.286524,1,-0.707714,0.000000,0.000000,0.000000,0.000000,0
2020-10-28,sh.000007,4245.7031,4250.9949,4206.2836,4246.9978,1186389100,7233995806.0000,3,0.298571,1,-0.025371,0.000000,0.000000,0.000000,0.000000,0
2020-10-29,sh.000007,4209.9175,4249.9735,4202.9494,4241.9204,1210551200,8510180993.0000,3,0.304651,1,-0.119553,0.000000,0.000000,0.000000,0.000000,0
2020-10-30,sh.000007,4246.5559,4258.4105,4182.5634,4189.0848,1536309300,10723396615.3000,3,0.386633,1,-1.245558,0.000000,0.000000,0.000000,0.000000,0
