date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.000016,3281.4645,3296.6720,3274.1895,3286.8572,2462439400,64079382336.0000,3,0.162894,1,1.684154,0.000000,0.000000,0.000000,0.000000,0
2020-10-12,sh.000016,3302.9822,3388.5950,3302.6190,3387.8848,3977357200,84996198872.0000,3,0.263107,1,3.073684,0.000000,0.000000,0.000000,0.000000,0
2020-10-13,sh.000016,3381.6409,3391.9889,3363.9750,3386.8930,2792826200,60770638996.0000,3,0.184749,1,-0.029275,0.000000,0.000000,0.000000,0.000000,0
2020-10-14,sh.000016,3380.5584,3380.5584,3359.6210,3369.4978,2582262800,59851814515.0000,3,0.170817,1,-0.513603,0.000000,0.000000,0.000000,0.000000,0
2020-10-15,sh.000016,3369.7229,3392.9343,3363.8097,3371.4014,2738516800,60016920633.0000,3,0.181154,1,0.056495,0.000000,0.000000,0.000000,0.000000,0
2020-10-16,sh.000016,3374.1697,3400.4214,3362.1778,3380.1689,3493234500,61838797803.0000,3,0.231078,1,0.260055,0.000000,0.000000,0.000000,0.000000,0
2020-10-19,sh.000016,3398.7520,3430.5555,3349.1637,3354.3075,4126470400,75214131976.0000,3,0.272967,1,-0.765092,0.000000,0.000000,0.000000,0.000000,0
2020-10-20,sh.000016,3352.0276,3365.1843,3340.8430,3363.5030,2639252700,52091237048.0000,3,0.174587,1,0.274140,0.000000,0.000000,0.000000,0.000000,0
2020-10-21,sh.000016,3372.6870,3380.0547,3351.7237,3377.4246,3132950400,56656466675.0000,3,0.207246,1,0.413902,0.000000,0.000000,0.000000,0.000000,0
2020-10-22,sh.000016,3370.0840,3378.6453,3328.3152,3369.5300,2739885900,58254098220.0000,3,0.181244,1,-0.233746,0.000000,0.000000,0.000000,0.000000,0
2020-10-23,sh.000016,3364.5981,3395.4051,3346.6080,3346.6080,3391157200,64296241659.0000,3,0.224322,1,-0.680273,0.000000,0.000000,0.000000,0.000000,0
2020-10-26,sh.000016,3320.0274,3328.6778,3288.5825,3304.7036,3465014400,67396897056.0000,3,0.229207,1,-1.252145,0.000000,0.000000,0.000000,0.000000,0
2020-10-27,sh.000016,3298.0635,3305.6077,3281.6166,3294.0881,2557950900,54627451487.0000,3,0.169206,1,-0.321224,0.000000,0.000000,0.000000,0.000000,0
2020-10-28,sh.000016,3295.4449,3324.8029,3285.0438,3313.2314,2827984400,63936396323.0000,3,0.187068,1,0.581141,0.000000,0.000000,0.000000,0.000000,0
2020-10-29,sh.000016,3278.9777,3351.1174,3277.5719,3324.4397,3021895400,69727041403.0000,3,0.199895,1,0.338289,0.000000,0.000000,0.000000,0.000000,0
2020-10-30,sh.000016,3321.9387,3332.8677,3271.2671,3280.3835,3573711100,74625943459.0000,3,0.236397,1,-1.325222,0.000000,0.000000,0.000000,0.000000,0
