date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.000027,893.8641,894.9487,887.2502,888.6248,278406300,2474175072.0000,3,0.354598,1,0.699973,0.000000,0.000000,0.000000,0.000000,0
2020-10-12,sh.000027,890.1515,903.3936,886.7459,903.3753,411407800,3715432413.0000,3,0.523998,1,1.659924,0.000000,0.000000,0.000000,0.000000,0
2020-10-13,sh.000027,905.2406,905.2406,894.8078,903.0127,293230900,2667044546.0000,3,0.373480,1,-0.040138,0.000000,0.000000,0.000000,0.000000,0
2020-10-14,sh.000027,900.4531,900.4531,891.6841,896.2760,276831900,2827290402.0000,3,0.352593,1,-0.746025,0.000000,0.000000,0.000000,0.000000,0
2020-10-15,sh.000027,890.7316,893.1616,886.1779,886.5257,249726200,2281927517.0000,3,0.318069,1,-1.087868,0.000000,0.000000,0.000000,0.000000,0
2020-10-16,sh.000027,885.6009,888.8753,883.5905,887.1287,198391200,1838356717.0000,3,0.252685,1,0.068018,0.000000,0.000000,0.000000,0.000000,0
2020-10-19,sh.000027,888.1586,894.9428,883.7423,885.8597,216896000,1974411530.0000,3,0.276254,1,-0.143046,0.000000,0.000000,0.000000,0.000000,0
2020-10-20,sh.000027,886.0615,886.0615,880.9980,884.0356,194818200,1593967587.0000,3,0.248134,1,-0.205913,0.000000,0.000000,0.000000,0.000000,0
2020-10-21,sh.000027,884.1659,893.3967,881.9212,892.0970,328221800,2576299240.0000,3,0.418047,1,0.911886,0.000000,0.000000,0.000000,0.000000,0
2020-10-22,sh.000027,890.2992,892.7410,879.5505,885.1263,274563100,3008240383.0000,3,0.349703,1,-0.781384,0.000000,0.000000,0.000000,0.000000,0
2020-10-23,sh.000027,884.8515,887.8161,879.4009,880.3480,200866600,1923565135.0000,3,0.255838,1,-0.539844,0.000000,0.000000,0.000000,0.000000,0
2020-10-26,sh.000027,877.1323,877.1323,870.3801,873.5878,306343200,2310167487.0000,3,0.390181,1,-0.767901,0.000000,0.000000,0.000000,0.000000,0
2020-10-27,sh.000027,868.3175,871.3040,859.5976,864.9307,261945200,2226096165.0000,3,0.333632,1,-0.990982,0.000000,0.000000,0.000000,0.000000,0
2020-10-28,sh.000027,863.5724,866.3969,853.3079,865.3899,246570900,2182509058.0000,3,0.314050,1,0.053091,0.000000,0.000000,0.000000,0.000000,0
2020-10-29,sh.000027,853.6105,863.1831,850.0849,861.7737,238021500,2267330000.0000,3,0.303161,1,-0.417869,0.000000,0.000000,0.000000,0.000000,0
2020-10-30,sh.000027,861.1775,865.2022,847.2437,849.7965,262745400,2290789356.0000,3,0.334651,1,-1.389831,0.000000,0.000000,0.000000,0.000000,0
