date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.000034,2338.5298,2357.7292,2338.0592,2351.3483,1490711500,22292774759.0000,3,0.411574,1,2.848481,0.000000,0.000000,0.000000,0.000000,0
2020-10-12,sh.000034,2362.1866,2409.7346,2352.6392,2409.0490,2090133500,27120582496.0000,3,0.577065,1,2.453941,0.000000,0.000000,0.000000,0.000000,0
2020-10-13,sh.000034,2402.4371,2406.8888,2384.4645,2404.5179,1345595300,17697976494.0000,3,0.371506,1,-0.188087,0.000000,0.000000,0.000000,0.000000,0
2020-10-14,sh.000034,2392.8850,2401.1281,2375.9265,2385.9159,1488228500,22417170470.0000,3,0.410885,1,-0.773627,0.000000,0.000000,0.000000,0.000000,0
2020-10-15,sh.000034,2389.3014,2389.5631,2360.2529,2362.7368,1268682100,18007799873.0000,3,0.350271,1,-0.971497,0.000000,0.000000,0.000000,0.000000,0
2020-10-16,sh.000034,2359.5258,2369.0691,2340.3246,2348.5549,1129616400,15427849013.0000,3,0.311876,1,-0.600232,0.000000,0.000000,0.000000,0.000000,0
2020-10-19,sh.000034,2357.1582,2361.6993,2314.8652,2320.1010,1376257100,20248856781.0000,3,0.379971,1,-1.211549,0.000000,0.000000,0.000000,0.000000,0
2020-10-20,sh.000034,2317.9510,2328.9161,2303.1220,2328.2825,1054374600,14755714630.0000,3,0.291102,1,0.352636,0.000000,0.000000,0.000000,0.000000,0
2020-10-21,sh.000034,2332.5344,2333.1163,2298.9984,2313.9218,1299040500,15940164260.0000,3,0.358652,1,-0.616794,0.000000,0.000000,0.000000,0.000000,0
2020-10-22,sh.000034,2305.5307,2305.5307,2273.6733,2291.3932,1077808600,15393628080.0000,3,0.297572,1,-0.973611,0.000000,0.000000,0.000000,0.000000,0
2020-10-23,sh.000034,2293.5638,2301.9051,2252.3478,2258.2720,1502047000,18417993461.0000,3,0.414700,1,-1.445461,0.000000,0.000000,0.000000,0.000000,0
2020-10-26,sh.000034,2253.0469,2278.6200,2233.5303,2273.6336,1859084100,18961351486.0000,3,0.513275,1,0.680237,0.000000,0.000000,0.000000,0.000000,0
2020-10-27,sh.000034,2264.2838,2274.5380,2250.8224,2273.7128,1500879200,15657416360.0000,3,0.414378,1,0.003483,0.000000,0.000000,0.000000,0.000000,0
2020-10-28,sh.000034,2269.0211,2289.6048,2254.5146,2285.9606,1462812300,16889952548.0000,3,0.403868,1,0.538670,0.000000,0.000000,0.000000,0.000000,0
2020-10-29,sh.000034,2263.1713,2302.9800,2255.9888,2298.7130,1366478100,17193635726.0000,3,0.377271,1,0.557857,0.000000,0.000000,0.000000,0.000000,0
2020-10-30,sh.000034,2307.5324,2316.7719,2264.4681,2276.9971,2073800100,24771865698.0000,3,0.572556,1,-0.944698,0.000000,0.000000,0.000000,0.000000,0
