date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.000038,5227.4458,5252.2559,5222.5230,5227.6564,1433915400,21909718751.0000,3,0.122724,1,0.992500,0.000000,0.000000,0.000000,0.000000,0
2020-10-12,sh.000038,5253.0356,5393.7859,5253.0356,5381.7900,2688686200,41383750345.0000,3,0.230115,1,2.948426,0.000000,0.000000,0.000000,0.000000,0
2020-10-13,sh.000038,5359.7230,5377.3360,5333.9751,5368.5720,1920579800,25964943260.0000,3,0.164375,1,-0.245606,0.000000,0.000000,0.000000,0.000000,0
2020-10-14,sh.000038,5367.9761,5367.9761,5324.1866,5350.2798,1536832900,21756834386.0000,3,0.131532,1,-0.340727,0.000000,0.000000,0.000000,0.000000,0
2020-10-15,sh.000038,5353.1716,5438.0572,5353.1716,5385.4177,1916685200,28556854382.0000,3,0.164042,1,0.656749,0.000000,0.000000,0.000000,0.000000,0
2020-10-16,sh.000038,5386.8118,5471.6484,5386.4810,5446.0340,2838930100,34119616634.0000,3,0.242974,1,1.125564,0.000000,0.000000,0.000000,0.000000,0
2020-10-19,sh.000038,5480.9657,5591.2402,5442.0077,5446.3722,3215584100,41367366516.0000,3,0.275210,1,0.006210,0.000000,0.000000,0.000000,0.000000,0
2020-10-20,sh.000038,5438.3308,5440.4146,5387.5962,5419.1365,1809968200,23262610628.0000,3,0.154909,1,-0.500070,0.000000,0.000000,0.000000,0.000000,0
2020-10-21,sh.000038,5425.5892,5487.0944,5404.0448,5481.9548,2122663700,26090614564.0000,3,0.181671,1,1.159194,0.000000,0.000000,0.000000,0.000000,0
2020-10-22,sh.000038,5469.5179,5513.8537,5421.0385,5480.1823,1932975400,28473314538.0000,3,0.165436,1,-0.032333,0.000000,0.000000,0.000000,0.000000,0
2020-10-23,sh.000038,5464.8016,5567.5626,5463.7582,5493.9481,2431533300,35202749072.0000,3,0.208106,1,0.251192,0.000000,0.000000,0.000000,0.000000,0
2020-10-26,sh.000038,5495.3552,5504.1366,5375.1858,5391.4406,2181803700,31607493364.0000,3,0.186733,1,-1.865826,0.000000,0.000000,0.000000,0.000000,0
2020-10-27,sh.000038,5379.7876,5388.7117,5352.9604,5361.4336,1554927300,23776718146.0000,3,0.133081,1,-0.556567,0.000000,0.000000,0.000000,0.000000,0
2020-10-28,sh.000038,5354.9969,5374.0398,5291.7431,5324.7744,1719916300,26768082364.0000,3,0.147201,1,-0.683757,0.000000,0.000000,0.000000,0.000000,0
2020-10-29,sh.000038,5270.9444,5369.2189,5260.1236,5321.4100,1710383600,27715753097.0000,3,0.146385,1,-0.063184,0.000000,0.000000,0.000000,0.000000,0
2020-10-30,sh.000038,5324.6494,5366.3057,5238.7441,5248.6640,2014462700,29627990292.0000,3,0.172410,1,-1.367044,0.000000,0.000000,0.000000,0.000000,0
