date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.000062,2060.2047,2077.7528,2058.7108,2071.1562,977384300,18285568753.0000,3,0.361229,1,1.884866,0.000000,0.000000,0.000000,0.000000,0
2020-10-12,sh.000062,2081.5682,2124.3487,2081.5682,2121.8789,1420928800,25364294348.0000,3,0.525155,1,2.449004,0.000000,0.000000,0.000000,0.000000,0
2020-10-13,sh.000062,2117.2824,2130.4245,2109.7795,2125.2311,997883900,20490455533.0000,3,0.368803,1,0.157983,0.000000,0.000000,0.000000,0.000000,0
2020-10-14,sh.000062,2120.3867,2120.3867,2103.3560,2109.9585,1031120900,21711967787.0000,3,0.381087,1,-0.718632,0.000000,0.000000,0.000000,0.000000,0
2020-10-15,sh.000062,2111.5576,2122.3978,2104.4427,2109.0413,914427400,17667794093.0000,3,0.337959,1,-0.043470,0.000000,0.000000,0.000000,0.000000,0
2020-10-16,sh.000062,2110.3279,2123.9087,2104.7057,2116.6931,1134148800,18515636442.0000,3,0.419165,1,0.362809,0.000000,0.000000,0.000000,0.000000,0
2020-10-19,sh.000062,2123.0875,2145.1536,2099.3129,2100.4190,1309438700,20708339631.0000,3,0.483949,1,-0.768846,0.000000,0.000000,0.000000,0.000000,0
2020-10-20,sh.000062,2094.2946,2106.9415,2086.8944,2105.4987,910344500,14730919251.0000,3,0.336450,1,0.241842,0.000000,0.000000,0.000000,0.000000,0
2020-10-21,sh.000062,2106.1749,2118.3660,2098.8143,2116.0179,991618100,16399753368.0000,3,0.366488,1,0.499606,0.000000,0.000000,0.000000,0.000000,0
2020-10-22,sh.000062,2099.8047,2109.7672,2088.9199,2102.2853,1114126100,19770344632.0000,3,0.411765,1,-0.648983,0.000000,0.000000,0.000000,0.000000,0
2020-10-23,sh.000062,2099.5340,2117.9600,2089.7857,2092.1379,1204990900,19474129549.0000,3,0.445347,1,-0.482684,0.000000,0.000000,0.000000,0.000000,0
2020-10-26,sh.000062,2086.0294,2086.0294,2062.0351,2068.2935,1221911500,17584391480.0000,3,0.451601,1,-1.139715,0.000000,0.000000,0.000000,0.000000,0
2020-10-27,sh.000062,2060.1427,2067.0087,2050.9174,2060.5007,985920200,14489044897.0000,3,0.364382,1,-0.376774,0.000000,0.000000,0.000000,0.000000,0
2020-10-28,sh.000062,2060.0528,2069.8414,2043.3540,2065.0453,1014181900,15341321972.0000,3,0.374753,1,0.220558,0.000000,0.000000,0.000000,0.000000,0
2020-10-29,sh.000062,2045.5714,2091.2736,2043.9190,2082.5558,1191386900,21367489731.0000,3,0.440232,1,0.847948,0.000000,0.000000,0.000000,0.000000,0
2020-10-30,sh.000062,2085.2771,2092.8027,2051.2588,2055.7664,1381640200,25006004270.0000,3,0.510533,1,-1.286371,0.000000,0.000000,0.000000,0.000000,0
