date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.000097,8671.7492,8750.2182,8638.0876,8744.6316,1159686700,25103175393.0000,3,0.821452,1,3.274092,0.000000,0.000000,0.000000,0.000000,0
2020-10-12,sh.000097,8810.3449,9037.8243,8792.2968,9037.7628,1506967100,30107185873.0000,3,1.067413,1,3.352127,0.000000,0.000000,0.000000,0.000000,0
2020-10-13,sh.000097,9008.1473,9089.2092,8957.9712,9080.1810,1090861700,20973402165.0000,3,0.772678,1,0.469344,0.000000,0.000000,0.000000,0.000000,0
2020-10-14,sh.000097,9065.6968,9140.7838,9023.3932,9059.5980,1155451600,25317009497.0000,3,0.818428,1,-0.226681,0.000000,0.000000,0.000000,0.000000,0
2020-10-15,sh.000097,9078.5437,9081.1147,8975.3591,8981.4795,999917100,21738109859.0000,3,0.708260,1,-0.862273,0.000000,0.000000,0.000000,0.000000,0
2020-10-16,sh.000097,8995.6016,9008.3520,8851.1177,8887.7944,836631800,17474585494.0000,3,0.592602,1,-1.043092,0.000000,0.000000,0.000000,0.000000,0
2020-10-19,sh.000097,8947.4512,8957.8497,8734.6506,8751.9880,926580000,21132260703.0000,3,0.656314,1,-1.528010,0.000000,0.000000,0.000000,0.000000,0
2020-10-20,sh.000097,8735.7407,8794.5615,8640.8589,8794.3680,757143400,16421409224.0000,3,0.536299,1,0.484233,0.000000,0.000000,0.000000,0.000000,0
2020-10-21,sh.000097,8804.0014,8808.2154,8554.6164,8589.2646,863856500,17311843340.0000,3,0.611886,1,-2.332213,0.000000,0.000000,0.000000,0.000000,0
2020-10-22,sh.000097,8555.3167,8555.3167,8422.7310,8524.9431,725923200,15374294809.0000,3,0.514185,1,-0.748859,0.000000,0.000000,0.000000,0.000000,0
2020-10-23,sh.000097,8543.8141,8593.6541,8344.3499,8360.7288,827810900,18330828951.0000,3,0.586354,1,-1.926280,0.000000,0.000000,0.000000,0.000000,0
2020-10-26,sh.000097,8338.5588,8459.7291,8230.7404,8431.2445,700983700,16087177279.0000,3,0.496520,1,0.843416,0.000000,0.000000,0.000000,0.000000,0
2020-10-27,sh.000097,8407.3352,8497.4338,8373.3130,8489.6180,737778600,15602556557.0000,3,0.521402,1,0.692347,0.000000,0.000000,0.000000,0.000000,0
2020-10-28,sh.000097,8480.5226,8480.5226,8360.2395,8461.6327,775855200,16113559369.0000,3,0.548029,1,-0.329641,0.000000,0.000000,0.000000,0.000000,0
2020-10-29,sh.000097,8344.4025,8459.6632,8303.7204,8417.1743,816653200,17256190996.0000,3,0.576846,1,-0.525412,0.000000,0.000000,0.000000,0.000000,0
2020-10-30,sh.000097,8443.6550,8472.2356,8167.6130,8176.5696,1103626900,22971198386.0000,3,0.779551,1,-2.858497,0.000000,0.000000,0.000000,0.000000,0
