date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.000098,4240.6766,4266.6662,4239.5317,4250.3702,7057123700,98318215392.0000,3,0.284888,1,1.374045,0.000000,0.000000,0.000000,0.000000,0
2020-10-12,sh.000098,4266.8042,4356.8589,4264.9348,4352.7610,9792016000,130770777781.0000,3,0.395291,1,2.408985,0.000000,0.000000,0.000000,0.000000,0
2020-10-13,sh.000098,4344.7876,4353.3951,4320.5399,4348.0271,6951747800,93318748456.0000,3,0.282048,1,-0.108756,0.000000,0.000000,0.000000,0.000000,0
2020-10-14,sh.000098,4341.6005,4341.6005,4312.2548,4324.4656,6688388100,93742591700.0000,3,0.271363,1,-0.541889,0.000000,0.000000,0.000000,0.000000,0
2020-10-15,sh.000098,4326.7351,4357.7829,4318.1003,4327.0513,6783366100,93370063911.0000,3,0.275076,1,0.059792,0.000000,0.000000,0.000000,0.000000,0
2020-10-16,sh.000098,4329.7414,4368.5798,4329.4798,4351.6785,8009348400,96911262684.0000,3,0.324791,1,0.569145,0.000000,0.000000,0.000000,0.000000,0
2020-10-19,sh.000098,4370.3227,4426.3872,4332.7987,4338.1844,8988313900,114864806662.0000,3,0.364489,1,-0.310090,0.000000,0.000000,0.000000,0.000000,0
2020-10-20,sh.000098,4330.6394,4339.2736,4308.0342,4337.4147,6155534500,80239696458.0000,3,0.249611,1,-0.017742,0.000000,0.000000,0.000000,0.000000,0
2020-10-21,sh.000098,4341.7697,4369.9969,4325.5537,4366.9048,7091737900,86921679299.0000,3,0.287574,1,0.679900,0.000000,0.000000,0.000000,0.000000,0
2020-10-22,sh.000098,4357.4674,4369.7015,4321.9241,4353.2132,6551541700,86544421213.0000,3,0.265652,1,-0.313531,0.000000,0.000000,0.000000,0.000000,0
2020-10-23,sh.000098,4346.6537,4397.5101,4345.9561,4356.7218,7282220500,93624456004.0000,3,0.295275,1,0.080598,0.000000,0.000000,0.000000,0.000000,0
2020-10-26,sh.000098,4356.9285,4360.9350,4305.7338,4320.7511,7364460200,98594382861.0000,3,0.298610,1,-0.825637,0.000000,0.000000,0.000000,0.000000,0
2020-10-27,sh.000098,4307.3728,4308.8292,4284.0039,4297.3221,6033241400,80197253899.0000,3,0.244633,1,-0.542244,0.000000,0.000000,0.000000,0.000000,0
2020-10-28,sh.000098,4298.6569,4306.2990,4261.7264,4295.1158,6988182200,97106738795.0000,3,0.283345,1,-0.051341,0.000000,0.000000,0.000000,0.000000,0
2020-10-29,sh.000098,4255.7902,4326.4427,4253.1378,4300.7107,7246792700,104716940046.0000,3,0.293830,1,0.130262,0.000000,0.000000,0.000000,0.000000,0
2020-10-30,sh.000098,4304.5616,4325.2634,4243.6406,4252.4253,9349651900,118841496756.0000,3,0.379093,1,-1.122731,0.000000,0.000000,0.000000,0.000000,0
