date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.000108,14629.8405,14793.1739,14507.4399,14770.9211,230350400,4653836439.0000,3,1.312292,1,2.329285,0.000000,0.000000,0.000000,0.000000,0
2020-10-12,sh.000108,14867.1491,15117.1396,14826.1257,15115.5613,263552200,5561218819.0000,3,1.501426,1,2.333234,0.000000,0.000000,0.000000,0.000000,0
2020-10-13,sh.000108,15146.6178,15272.0223,15059.5223,15218.5704,193157800,4100035984.0000,3,1.106794,1,0.681477,0.000000,0.000000,0.000000,0.000000,0
2020-10-14,sh.000108,15202.3316,15331.7781,15147.6091,15211.5997,192012100,4009788054.0000,3,1.100229,1,-0.045804,0.000000,0.000000,0.000000,0.000000,0
2020-10-15,sh.000108,15238.9180,15289.5695,15082.0339,15129.2523,147898800,3026589732.0000,3,0.847460,1,-0.541346,0.000000,0.000000,0.000000,0.000000,0
2020-10-16,sh.000108,15148.5084,15209.8718,14935.7970,15091.2958,143311900,3101527214.0000,3,0.821177,1,-0.250882,0.000000,0.000000,0.000000,0.000000,0
2020-10-19,sh.000108,15128.1691,15140.4584,14811.8741,14827.9958,184310600,3653349483.0000,3,1.056100,1,-1.744714,0.000000,0.000000,0.000000,0.000000,0
2020-10-20,sh.000108,14814.9656,15184.0545,14743.0738,15183.4379,194048000,3961722044.0000,3,1.111895,1,2.397101,0.000000,0.000000,0.000000,0.000000,0
2020-10-21,sh.000108,15193.8879,15239.7025,14985.4453,15075.1712,160191500,3349803426.0000,3,0.917897,1,-0.713058,0.000000,0.000000,0.000000,0.000000,0
2020-10-22,sh.000108,15085.0976,15085.0976,14723.0494,15022.6093,226100400,4295543121.0000,3,1.286269,1,-0.348665,0.000000,0.000000,0.000000,0.000000,0
2020-10-23,sh.000108,15019.4545,15092.2490,14520.3023,14569.9737,252809600,4979670970.0000,3,1.438215,1,-3.013029,0.000000,0.000000,0.000000,0.000000,0
2020-10-26,sh.000108,14418.0165,14508.5066,14081.1288,14401.1299,218021100,4151192308.0000,3,1.240306,1,-1.158848,0.000000,0.000000,0.000000,0.000000,0
2020-10-27,sh.000108,14419.8379,14757.2260,14401.4100,14673.8989,176802700,4014074204.0000,3,1.005818,1,1.894081,0.000000,0.000000,0.000000,0.000000,0
2020-10-28,sh.000108,14713.4792,14962.4803,14657.8378,14928.6695,245169900,5257861780.0000,3,1.394754,1,1.736216,0.000000,0.000000,0.000000,0.000000,0
2020-10-29,sh.000108,14820.6059,15238.7681,14764.1438,15097.7697,271983100,6105059692.0000,3,1.547292,1,1.132721,0.000000,0.000000,0.000000,0.000000,0
2020-10-30,sh.000108,15120.7763,15120.7763,14557.1540,14566.9148,293021800,5925147824.0000,3,1.666980,1,-3.516115,0.000000,0.000000,0.000000,0.000000,0
