date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.000120,6322.3759,6392.8780,6316.3729,6378.4134,3838804300,39964575691.0000,3,0.752727,1,2.292939,0.000000,0.000000,0.000000,0.000000,0
2020-10-12,sh.000120,6406.2930,6526.5786,6400.1020,6525.4048,4919819400,50142526874.0000,3,0.964539,1,2.304514,0.000000,0.000000,0.000000,0.000000,0
2020-10-13,sh.000120,6529.8795,6541.5603,6481.3397,6535.9360,3966209600,42722460142.0000,3,0.776729,1,0.161388,0.000000,0.000000,0.000000,0.000000,0
2020-10-14,sh.000120,6520.1035,6520.1035,6481.9355,6494.9779,4159896800,44763539884.0000,3,0.814660,1,-0.626660,0.000000,0.000000,0.000000,0.000000,0
2020-10-15,sh.000120,6501.2823,6502.8519,6459.6171,6471.7622,3803091900,39439752983.0000,3,0.744785,1,-0.357441,0.000000,0.000000,0.000000,0.000000,0
2020-10-16,sh.000120,6471.4560,6501.8205,6447.0721,6483.6522,3985612300,39029028182.0000,3,0.780529,1,0.183721,0.000000,0.000000,0.000000,0.000000,0
2020-10-19,sh.000120,6513.5808,6538.2905,6417.9875,6432.1602,4192909300,43144451098.0000,3,0.821126,1,-0.794182,0.000000,0.000000,0.000000,0.000000,0
2020-10-20,sh.000120,6419.7173,6461.2428,6385.9510,6460.7088,3199594400,34037502305.0000,3,0.626598,1,0.443842,0.000000,0.000000,0.000000,0.000000,0
2020-10-21,sh.000120,6466.0550,6467.1650,6384.0732,6415.2653,3424046900,38533229153.0000,3,0.670291,1,-0.703383,0.000000,0.000000,0.000000,0.000000,0
2020-10-22,sh.000120,6400.6349,6400.6349,6337.3322,6382.7639,3302855700,35581002992.0000,3,0.646407,1,-0.506626,0.000000,0.000000,0.000000,0.000000,0
2020-10-23,sh.000120,6384.7595,6420.4107,6312.4101,6324.1468,2998815900,33682442259.0000,3,0.586903,1,-0.918365,0.000000,0.000000,0.000000,0.000000,0
2020-10-26,sh.000120,6312.8333,6327.5491,6250.8567,6303.2671,2781758000,30104774040.0000,3,0.544422,1,-0.330158,0.000000,0.000000,0.000000,0.000000,0
2020-10-27,sh.000120,6283.3678,6310.9329,6256.2060,6302.2479,2942447600,31896866564.0000,3,0.575871,1,-0.016169,0.000000,0.000000,0.000000,0.000000,0
2020-10-28,sh.000120,6295.6049,6304.7358,6233.7503,6299.0628,3609578300,38504721989.0000,3,0.706436,1,-0.050539,0.000000,0.000000,0.000000,0.000000,0
2020-10-29,sh.000120,6228.7990,6310.4017,6216.9598,6288.7422,3833912400,40248763907.0000,3,0.750341,1,-0.163843,0.000000,0.000000,0.000000,0.000000,0
2020-10-30,sh.000120,6300.5428,6302.4006,6167.4500,6178.0897,4451100000,45182587691.0000,3,0.871131,1,-1.759533,0.000000,0.000000,0.000000,0.000000,0
