date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.000125,11460.0545,11496.1252,11419.2771,11454.3270,3508903600,60382229016.0000,3,0.189599,1,1.256454,0.000000,0.000000,0.000000,0.000000,0
2020-10-12,sh.000125,11497.5016,11783.1622,11497.5016,11779.9508,5243186100,79022565718.0000,3,0.283309,1,2.842802,0.000000,0.000000,0.000000,0.000000,0
2020-10-13,sh.000125,11771.9998,11802.1235,11715.7040,11786.6652,3859070400,59519666134.0000,3,0.208520,1,0.056999,0.000000,0.000000,0.000000,0.000000,0
2020-10-14,sh.000125,11777.0965,11777.0965,11715.7218,11746.6360,3521052600,57568602341.0000,3,0.190256,1,-0.339614,0.000000,0.000000,0.000000,0.000000,0
2020-10-15,sh.000125,11743.1691,11823.4387,11726.1254,11746.5079,3849551800,58729590674.0000,3,0.207864,1,-0.001091,0.000000,0.000000,0.000000,0.000000,0
2020-10-16,sh.000125,11759.6562,11861.3949,11737.3964,11795.2766,5168081500,66182548805.0000,3,0.279060,1,0.415176,0.000000,0.000000,0.000000,0.000000,0
2020-10-19,sh.000125,11857.5134,11973.4505,11703.6329,11719.3088,5562800500,73208429139.0000,3,0.300374,1,-0.644053,0.000000,0.000000,0.000000,0.000000,0
2020-10-20,sh.000125,11710.9160,11770.5532,11685.4631,11766.2855,3641621200,50360433867.0000,3,0.196631,1,0.400849,0.000000,0.000000,0.000000,0.000000,0
2020-10-21,sh.000125,11796.6270,11836.7916,11733.4899,11830.2211,4264760400,57115233635.0000,3,0.230278,1,0.543380,0.000000,0.000000,0.000000,0.000000,0
2020-10-22,sh.000125,11812.4548,11833.3012,11666.1016,11792.4813,3633102500,56680686121.0000,3,0.196154,1,-0.319012,0.000000,0.000000,0.000000,0.000000,0
2020-10-23,sh.000125,11772.4815,11877.8701,11722.8117,11722.8117,4639196800,65313908410.0000,3,0.250469,1,-0.590797,0.000000,0.000000,0.000000,0.000000,0
2020-10-26,sh.000125,11632.5823,11646.5576,11526.7569,11577.4579,4503876800,65103701566.0000,3,0.243163,1,-1.239923,0.000000,0.000000,0.000000,0.000000,0
2020-10-27,sh.000125,11549.2413,11576.5926,11496.5182,11532.9547,3454871700,53427638008.0000,3,0.186528,1,-0.384395,0.000000,0.000000,0.000000,0.000000,0
2020-10-28,sh.000125,11546.1811,11625.8879,11510.3420,11593.8771,3741471900,61796140440.0000,3,0.201999,1,0.528246,0.000000,0.000000,0.000000,0.000000,0
2020-10-29,sh.000125,11482.1592,11705.0114,11475.7467,11615.6178,4015480000,68463589095.0000,3,0.216793,1,0.187519,0.000000,0.000000,0.000000,0.000000,0
2020-10-30,sh.000125,11609.2478,11652.0483,11444.7572,11468.7496,5341337200,76525747139.0000,3,0.288375,1,-1.264403,0.000000,0.000000,0.000000,0.000000,0
