date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.000137,4868.0801,4940.6710,4868.0801,4923.8439,1077978000,14317168245.0000,3,1.223643,1,3.008461,0.000000,0.000000,0.000000,0.000000,0
2020-10-12,sh.000137,4969.1292,5072.9828,4964.0272,5072.4306,1379138500,18925146168.0000,3,1.564236,1,3.017697,0.000000,0.000000,0.000000,0.000000,0
2020-10-13,sh.000137,5071.7042,5110.3929,5047.8851,5109.6428,1282650700,17441204161.0000,3,1.451038,1,0.733617,0.000000,0.000000,0.000000,0.000000,0
2020-10-14,sh.000137,5092.7787,5097.8797,5070.5988,5083.3609,1260384000,17899496335.0000,3,1.425848,1,-0.514359,0.000000,0.000000,0.000000,0.000000,0
2020-10-15,sh.000137,5087.6856,5096.3213,5050.5703,5054.2990,1057371000,14642551591.0000,3,1.196184,1,-0.571706,0.000000,0.000000,0.000000,0.000000,0
2020-10-16,sh.000137,5057.1978,5065.1335,5008.5036,5045.8472,985723100,13489479623.0000,3,1.115130,1,-0.167220,0.000000,0.000000,0.000000,0.000000,0
2020-10-19,sh.000137,5087.3365,5091.2015,4977.5165,4989.9376,1120135900,15360330209.0000,3,1.267188,1,-1.108032,0.000000,0.000000,0.000000,0.000000,0
2020-10-20,sh.000137,4979.9569,5041.9485,4954.5879,5041.9485,949786200,12849030733.0000,3,1.074475,1,1.042316,0.000000,0.000000,0.000000,0.000000,0
2020-10-21,sh.000137,5045.7518,5046.3975,4951.3187,4973.7141,942275800,12971257447.0000,3,1.063569,1,-1.353334,0.000000,0.000000,0.000000,0.000000,0
2020-10-22,sh.000137,4963.1152,4972.3265,4912.1738,4953.7855,1070702600,13626241847.0000,3,1.208521,1,-0.400678,0.000000,0.000000,0.000000,0.000000,0
2020-10-23,sh.000137,4958.1055,4979.8918,4849.0539,4854.4723,909009000,12812106428.0000,3,1.026014,1,-2.004794,0.000000,0.000000,0.000000,0.000000,0
2020-10-26,sh.000137,4850.7463,4893.9207,4799.4474,4872.2248,814331400,11195937582.0000,3,0.919395,1,0.365694,0.000000,0.000000,0.000000,0.000000,0
2020-10-27,sh.000137,4859.5974,4876.2354,4820.8993,4872.2323,846518000,12301050848.0000,3,0.955734,1,0.000154,0.000000,0.000000,0.000000,0.000000,0
2020-10-28,sh.000137,4872.0380,4898.6201,4811.1991,4886.8770,1114969500,15205873663.0000,3,1.258821,1,0.300575,0.000000,0.000000,0.000000,0.000000,0
2020-10-29,sh.000137,4815.9902,4906.7617,4803.6751,4893.1757,1100302300,14272319153.0000,3,1.242261,1,0.128890,0.000000,0.000000,0.000000,0.000000,0
2020-10-30,sh.000137,4905.3431,4913.9199,4800.1902,4808.9333,1286972700,17806820369.0000,3,1.453015,1,-1.721630,0.000000,0.000000,0.000000,0.000000,0
