date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.000141,3780.5353,3828.5677,3777.6437,3818.8660,1876080100,27926430998.0000,3,0.984946,1,2.616688,0.000000,0.000000,0.000000,0.000000,0
2020-10-12,sh.000141,3843.5957,3923.1179,3843.5957,3923.0941,2371308000,34857610765.0000,3,1.244115,1,2.729295,0.000000,0.000000,0.000000,0.000000,0
2020-10-13,sh.000141,3923.8959,3941.1474,3903.5772,3938.7086,1885585100,28790694650.0000,3,0.988094,1,0.398015,0.000000,0.000000,0.000000,0.000000,0
2020-10-14,sh.000141,3930.5358,3941.6974,3911.5265,3923.3971,2021649500,30993409516.0000,3,1.059396,1,-0.388744,0.000000,0.000000,0.000000,0.000000,0
2020-10-15,sh.000141,3930.4341,3930.4485,3889.7923,3890.8291,1815733300,27441203916.0000,3,0.951490,1,-0.830097,0.000000,0.000000,0.000000,0.000000,0
2020-10-16,sh.000141,3895.5548,3907.0347,3853.5546,3877.9149,1725596700,24858705276.0000,3,0.904256,1,-0.331914,0.000000,0.000000,0.000000,0.000000,0
2020-10-19,sh.000141,3901.9040,3904.9950,3827.3540,3835.5920,1935334000,28011366933.0000,3,1.014164,1,-1.091383,0.000000,0.000000,0.000000,0.000000,0
2020-10-20,sh.000141,3831.5145,3872.9568,3813.3696,3872.9568,1634654600,23673470558.0000,3,0.856600,1,0.974160,0.000000,0.000000,0.000000,0.000000,0
2020-10-21,sh.000141,3875.3004,3876.3013,3812.2849,3828.9095,1778418500,25356583080.0000,3,0.930960,1,-1.137304,0.000000,0.000000,0.000000,0.000000,0
2020-10-22,sh.000141,3820.1516,3820.1516,3772.7529,3805.5422,1565704700,22745914101.0000,3,0.819066,1,-0.610286,0.000000,0.000000,0.000000,0.000000,0
2020-10-23,sh.000141,3804.9868,3832.8160,3731.3284,3737.6747,1576560200,23842992633.0000,3,0.824745,1,-1.783386,0.000000,0.000000,0.000000,0.000000,0
2020-10-26,sh.000141,3727.3357,3755.7338,3676.0979,3742.2320,1487584100,21454161762.0000,3,0.778295,1,0.121929,0.000000,0.000000,0.000000,0.000000,0
2020-10-27,sh.000141,3734.2157,3757.5880,3720.0666,3755.7084,1548350200,22549152041.0000,3,0.809836,1,0.360117,0.000000,0.000000,0.000000,0.000000,0
2020-10-28,sh.000141,3754.6103,3768.8838,3720.5444,3764.1584,1798847200,25994895407.0000,3,0.940495,1,0.224991,0.000000,0.000000,0.000000,0.000000,0
2020-10-29,sh.000141,3715.2242,3781.0833,3706.4083,3766.8489,1857907600,26901096800.0000,3,0.971374,1,0.071477,0.000000,0.000000,0.000000,0.000000,0
2020-10-30,sh.000141,3773.9171,3775.5918,3690.4394,3699.2528,2357347600,33725589261.0000,3,1.232497,1,-1.794500,0.000000,0.000000,0.000000,0.000000,0
