date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.000146,7491.5216,7565.6733,7466.7576,7557.0335,1193243700,24162412266.0000,3,0.975121,1,3.588835,0.000000,0.000000,0.000000,0.000000,0
2020-10-12,sh.000146,7623.2518,7827.0150,7600.3537,7808.1457,1520352300,28282162787.0000,3,1.242393,1,3.322894,0.000000,0.000000,0.000000,0.000000,0
2020-10-13,sh.000146,7781.2570,7832.2412,7727.7622,7822.1244,1128221300,20840490656.0000,3,0.921954,1,0.179027,0.000000,0.000000,0.000000,0.000000,0
2020-10-14,sh.000146,7801.0465,7870.0925,7743.4178,7777.9862,1135401200,24844944095.0000,3,0.927821,1,-0.564274,0.000000,0.000000,0.000000,0.000000,0
2020-10-15,sh.000146,7790.3071,7792.2290,7680.7665,7686.3873,1003574500,20682341030.0000,3,0.820095,1,-1.177669,0.000000,0.000000,0.000000,0.000000,0
2020-10-16,sh.000146,7686.2543,7707.5865,7551.6394,7581.9564,833956900,17067934934.0000,3,0.681488,1,-1.358647,0.000000,0.000000,0.000000,0.000000,0
2020-10-19,sh.000146,7636.1981,7646.7270,7454.8019,7471.7324,889647000,19628814372.0000,3,0.726997,1,-1.453767,0.000000,0.000000,0.000000,0.000000,0
2020-10-20,sh.000146,7457.6503,7514.6635,7386.5906,7513.2998,707624200,15403619349.0000,3,0.578252,1,0.556329,0.000000,0.000000,0.000000,0.000000,0
2020-10-21,sh.000146,7517.9523,7519.5293,7318.4794,7340.4956,844365300,16515473307.0000,3,0.689994,1,-2.299977,0.000000,0.000000,0.000000,0.000000,0
2020-10-22,sh.000146,7308.7270,7318.6910,7207.3112,7293.7661,779199100,15432588583.0000,3,0.636742,1,-0.636599,0.000000,0.000000,0.000000,0.000000,0
2020-10-23,sh.000146,7306.2348,7346.5290,7137.8997,7155.4717,825561000,16977677422.0000,3,0.674627,1,-1.896063,0.000000,0.000000,0.000000,0.000000,0
2020-10-26,sh.000146,7121.9252,7242.8337,7041.1199,7225.9864,680713800,14813840689.0000,3,0.556262,1,0.985465,0.000000,0.000000,0.000000,0.000000,0
2020-10-27,sh.000146,7200.5520,7294.8036,7179.2522,7290.1751,753547400,14739874062.0000,3,0.614175,1,0.888304,0.000000,0.000000,0.000000,0.000000,0
2020-10-28,sh.000146,7269.1589,7314.2501,7196.1346,7299.6468,803420500,15844684848.0000,3,0.654824,1,0.129924,0.000000,0.000000,0.000000,0.000000,0
2020-10-29,sh.000146,7190.8083,7330.8788,7166.9261,7302.2350,839167500,16825958879.0000,3,0.683959,1,0.035457,0.000000,0.000000,0.000000,0.000000,0
2020-10-30,sh.000146,7362.6522,7392.1157,7144.1984,7170.7861,1085212900,22312561907.0000,3,0.884497,1,-1.800119,0.000000,0.000000,0.000000,0.000000,0
