date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.000151,1074.9579,1083.0369,1074.5044,1077.9971,1126010200,8368043818.0000,3,0.096899,1,1.038591,0.000000,0.000000,0.000000,0.000000,0
2020-10-12,sh.000151,1080.8901,1096.3928,1079.7255,1095.8975,1949626400,13748683692.0000,3,0.167776,1,1.660524,0.000000,0.000000,0.000000,0.000000,0
2020-10-13,sh.000151,1094.5685,1094.5685,1087.9093,1093.0652,1523546300,9954245265.0000,3,0.131110,1,-0.258446,0.000000,0.000000,0.000000,0.000000,0
2020-10-14,sh.000151,1091.3367,1091.3367,1082.8737,1085.3863,1279309600,8649132460.0000,3,0.110092,1,-0.702511,0.000000,0.000000,0.000000,0.000000,0
2020-10-15,sh.000151,1086.2313,1090.1745,1081.2614,1084.9304,1489291800,11547145525.0000,3,0.128162,1,-0.042003,0.000000,0.000000,0.000000,0.000000,0
2020-10-16,sh.000151,1084.7228,1094.5402,1084.1760,1089.5894,2539474600,16859530634.0000,3,0.218536,1,0.429428,0.000000,0.000000,0.000000,0.000000,0
2020-10-19,sh.000151,1091.8022,1103.3967,1083.9677,1085.3406,2573901500,16589862220.0000,3,0.221499,1,-0.389945,0.000000,0.000000,0.000000,0.000000,0
2020-10-20,sh.000151,1083.2159,1084.0236,1077.5468,1082.8713,1575005400,10688746684.0000,3,0.135532,1,-0.227514,0.000000,0.000000,0.000000,0.000000,0
2020-10-21,sh.000151,1083.0271,1086.7510,1079.1675,1085.8001,1682894000,11924878017.0000,3,0.144816,1,0.270466,0.000000,0.000000,0.000000,0.000000,0
2020-10-22,sh.000151,1084.3327,1086.0461,1080.6048,1083.6451,1396265500,9565096009.0000,3,0.120151,1,-0.198471,0.000000,0.000000,0.000000,0.000000,0
2020-10-23,sh.000151,1082.9122,1088.5188,1081.2005,1084.1588,1741602100,11357750165.0000,3,0.149868,1,0.047405,0.000000,0.000000,0.000000,0.000000,0
2020-10-26,sh.000151,1083.2901,1084.9872,1074.1381,1077.6000,1473787400,9797291486.0000,3,0.126822,1,-0.604967,0.000000,0.000000,0.000000,0.000000,0
2020-10-27,sh.000151,1075.3283,1076.6597,1071.7479,1073.8939,1138627500,7681564206.0000,3,0.097981,1,-0.343922,0.000000,0.000000,0.000000,0.000000,0
2020-10-28,sh.000151,1073.8793,1073.9755,1064.5627,1072.7154,1268097100,8884191960.0000,3,0.109122,1,-0.109741,0.000000,0.000000,0.000000,0.000000,0
2020-10-29,sh.000151,1065.9085,1077.2534,1064.6111,1073.5342,1393074400,11334797727.0000,3,0.119877,1,0.076330,0.000000,0.000000,0.000000,0.000000,0
2020-10-30,sh.000151,1075.8039,1081.5031,1063.9520,1066.0037,1643805700,13692403555.0000,3,0.141452,1,-0.701468,0.000000,0.000000,0.000000,0.000000,0
