date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.000158,1504.2986,1521.0739,1501.9864,1518.4503,882510600,20133936855.0000,3,0.667605,1,3.986117,0.000000,0.000000,0.000000,0.000000,0
2020-10-12,sh.000158,1535.8721,1564.9272,1530.6689,1564.1312,1117010100,21322606509.0000,3,0.844986,1,3.008390,0.000000,0.000000,0.000000,0.000000,0
2020-10-13,sh.000158,1561.9232,1577.1314,1553.9191,1575.8285,816090200,16533619778.0000,3,0.617349,1,0.747846,0.000000,0.000000,0.000000,0.000000,0
2020-10-14,sh.000158,1570.5919,1587.6176,1564.7056,1577.8036,941538100,21462326520.0000,3,0.712247,1,0.125337,0.000000,0.000000,0.000000,0.000000,0
2020-10-15,sh.000158,1583.3712,1583.3712,1552.7027,1554.0848,819592900,19198794178.0000,3,0.619999,1,-1.503280,0.000000,0.000000,0.000000,0.000000,0
2020-10-16,sh.000158,1557.0763,1559.7387,1535.4033,1543.1178,689109200,14833463087.0000,3,0.521292,1,-0.705689,0.000000,0.000000,0.000000,0.000000,0
2020-10-19,sh.000158,1554.5495,1554.5495,1505.3973,1508.4144,828124100,19858756948.0000,3,0.626452,1,-2.248915,0.000000,0.000000,0.000000,0.000000,0
2020-10-20,sh.000158,1506.9777,1521.7353,1498.3043,1521.5912,637353400,15161654368.0000,3,0.481954,1,0.873553,0.000000,0.000000,0.000000,0.000000,0
2020-10-21,sh.000158,1524.8364,1524.9981,1490.3623,1499.0874,684538000,14636406007.0000,3,0.517634,1,-1.478965,0.000000,0.000000,0.000000,0.000000,0
2020-10-22,sh.000158,1494.8043,1500.4710,1479.6546,1494.6594,622784600,13049620066.0000,3,0.470255,1,-0.295380,0.000000,0.000000,0.000000,0.000000,0
2020-10-23,sh.000158,1495.8420,1506.5388,1475.3368,1478.4141,579889500,12977152853.0000,3,0.437866,1,-1.086890,0.000000,0.000000,0.000000,0.000000,0
2020-10-26,sh.000158,1474.9221,1497.8557,1460.5218,1492.6749,559713800,14178541902.0000,3,0.422631,1,0.964601,0.000000,0.000000,0.000000,0.000000,0
2020-10-27,sh.000158,1486.5400,1504.7149,1481.3085,1502.9047,594094200,13500748729.0000,3,0.448591,1,0.685333,0.000000,0.000000,0.000000,0.000000,0
2020-10-28,sh.000158,1501.2475,1525.8742,1497.6905,1520.2898,723852000,16472300486.0000,3,0.546569,1,1.156767,0.000000,0.000000,0.000000,0.000000,0
2020-10-29,sh.000158,1505.4918,1543.8508,1502.3712,1537.5704,903039300,19461964372.0000,3,0.681871,1,1.136665,0.000000,0.000000,0.000000,0.000000,0
2020-10-30,sh.000158,1544.4134,1550.4132,1512.4178,1518.2594,1238573500,22332224605.0000,3,0.935228,1,-1.255942,0.000000,0.000000,0.000000,0.000000,0
