date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.000823,3901.4152,3958.3879,3888.8529,3931.6359,1101063000,10662728168.0000,3,0.790504,1,2.717297,0.000000,0.000000,0.000000,0.000000,0
2020-10-12,sh.000823,3961.0603,4049.7931,3961.0603,4045.4483,1348111000,12385209323.0000,3,0.968035,1,2.894785,0.000000,0.000000,0.000000,0.000000,0
2020-10-13,sh.000823,4031.0928,4041.5922,3988.7707,4037.7169,878433600,8885287223.0000,3,0.630775,1,-0.191114,0.000000,0.000000,0.000000,0.000000,0
2020-10-14,sh.000823,3996.5290,4003.0899,3969.8540,3980.1000,767842800,7667593712.0000,3,0.551363,1,-1.426967,0.000000,0.000000,0.000000,0.000000,0
2020-10-15,sh.000823,3983.7721,4025.5377,3983.7721,3992.1333,753732800,8657349784.0000,3,0.541231,1,0.302337,0.000000,0.000000,0.000000,0.000000,0
2020-10-16,sh.000823,4013.2806,4026.5500,3963.8698,3971.2145,835488200,8039968567.0000,3,0.599937,1,-0.524001,0.000000,0.000000,0.000000,0.000000,0
2020-10-19,sh.000823,3978.9052,4020.8882,3963.4519,3985.9403,870563100,7843976501.0000,3,0.625019,1,0.370814,0.000000,0.000000,0.000000,0.000000,0
2020-10-20,sh.000823,3977.5623,4008.7310,3933.3807,4005.3426,817035400,8610236550.0000,3,0.586588,1,0.486768,0.000000,0.000000,0.000000,0.000000,0
2020-10-21,sh.000823,4026.2863,4042.1169,3996.4580,4018.2842,932721800,9310918912.0000,3,0.669645,1,0.323108,0.000000,0.000000,0.000000,0.000000,0
2020-10-22,sh.000823,4006.0552,4013.1230,3959.1456,4002.2545,776818300,8018613609.0000,3,0.557715,1,-0.398919,0.000000,0.000000,0.000000,0.000000,0
2020-10-23,sh.000823,3982.5701,4028.8519,3968.0133,3978.4350,703859700,7906269149.0000,3,0.505334,1,-0.595152,0.000000,0.000000,0.000000,0.000000,0
2020-10-26,sh.000823,3960.4646,3987.0824,3921.4051,3980.1803,719521700,7531843765.0000,3,0.516579,1,0.043869,0.000000,0.000000,0.000000,0.000000,0
2020-10-27,sh.000823,3966.9660,4017.1284,3965.5917,4012.8821,832468200,10513602160.0000,3,0.597668,1,0.821616,0.000000,0.000000,0.000000,0.000000,0
2020-10-28,sh.000823,4013.8913,4066.5869,3991.9719,4050.1525,1006879500,12167861414.0000,3,0.722887,1,0.928769,0.000000,0.000000,0.000000,0.000000,0
2020-10-29,sh.000823,3968.8676,4044.6097,3962.2725,4026.4692,1060157600,13320721139.0000,3,0.761137,1,-0.584751,0.000000,0.000000,0.000000,0.000000,0
2020-10-30,sh.000823,4023.7068,4029.6203,3921.8560,3930.9732,1206641400,12820950138.0000,3,0.866305,1,-2.371706,0.000000,0.000000,0.000000,0.000000,0
