date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.000909,2413.2422,2437.0403,2402.5702,2431.7111,1446607311,17326235272.0000,3,0.712259,1,2.672114,0.000000,0.000000,0.000000,0.000000,0
2020-10-12,sh.000909,2443.2746,2511.1605,2443.2746,2510.4703,1829665600,20381230389.0000,3,0.900861,1,3.238839,0.000000,0.000000,0.000000,0.000000,0
2020-10-13,sh.000909,2504.0181,2544.9730,2490.6969,2538.4199,1317089366,16752697844.0000,3,0.648487,1,1.113321,0.000000,0.000000,0.000000,0.000000,0
2020-10-14,sh.000909,2527.5648,2538.8078,2516.7077,2531.2510,1260117688,15919788071.0000,3,0.620436,1,-0.282416,0.000000,0.000000,0.000000,0.000000,0
2020-10-15,sh.000909,2538.3765,2547.7888,2524.5973,2526.7790,1223301742,16520156896.0000,3,0.598593,1,-0.176672,0.000000,0.000000,0.000000,0.000000,0
2020-10-16,sh.000909,2530.5257,2545.9503,2501.6997,2515.2512,1335792893,15793764619.0000,3,0.653642,1,-0.456225,0.000000,0.000000,0.000000,0.000000,0
2020-10-19,sh.000909,2530.1616,2548.6033,2510.4377,2516.5102,1353798759,15364507510.0000,3,0.662453,1,0.050055,0.000000,0.000000,0.000000,0.000000,0
2020-10-20,sh.000909,2513.4024,2520.7703,2490.3478,2520.2533,1219110710,14166629313.0000,3,0.596546,1,0.148742,0.000000,0.000000,0.000000,0.000000,0
2020-10-21,sh.000909,2529.8857,2530.4444,2493.0287,2503.5839,1110449044,13800000555.0000,3,0.543375,1,-0.661418,0.000000,0.000000,0.000000,0.000000,0
2020-10-22,sh.000909,2499.8248,2500.2888,2459.6952,2478.0338,1169556243,14244145657.0000,3,0.572218,1,-1.020541,0.000000,0.000000,0.000000,0.000000,0
2020-10-23,sh.000909,2475.4925,2497.6980,2453.8098,2465.4840,1074106863,13390063966.0000,3,0.524081,1,-0.506442,0.000000,0.000000,0.000000,0.000000,0
2020-10-26,sh.000909,2456.6999,2457.0693,2416.5716,2455.3178,1050689680,13134235132.0000,3,0.512655,1,-0.412341,0.000000,0.000000,0.000000,0.000000,0
2020-10-27,sh.000909,2450.2782,2481.6660,2448.9249,2479.9365,1203942173,17148656260.0000,3,0.587430,1,1.002669,0.000000,0.000000,0.000000,0.000000,0
2020-10-28,sh.000909,2489.7826,2517.0782,2467.4678,2510.2386,1345330288,19752968964.0000,3,0.656417,1,1.221890,0.000000,0.000000,0.000000,0.000000,0
2020-10-29,sh.000909,2470.6917,2502.5086,2464.6963,2488.6938,1431117348,20606566576.0000,3,0.698274,1,-0.858277,0.000000,0.000000,0.000000,0.000000,0
2020-10-30,sh.000909,2489.8539,2495.5753,2437.5956,2443.7699,1617115416,18628629890.0000,3,0.789027,1,-1.805120,0.000000,0.000000,0.000000,0.000000,0
