date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.000910,2632.7246,2667.0943,2632.7246,2655.9948,1892196715,31753145904.0000,3,0.504782,1,3.324045,0.000000,0.000000,0.000000,0.000000,0
2020-10-12,sh.000910,2670.7982,2725.5301,2664.5227,2725.5301,2433088930,37292026131.0000,3,0.649068,1,2.618051,0.000000,0.000000,0.000000,0.000000,0
2020-10-13,sh.000910,2716.1967,2737.2094,2700.5611,2732.3499,1655251416,26612671340.0000,3,0.441566,1,0.250219,0.000000,0.000000,0.000000,0.000000,0
2020-10-14,sh.000910,2723.1524,2731.1619,2712.4127,2725.9414,1857820899,31202061694.0000,3,0.495605,1,-0.234542,0.000000,0.000000,0.000000,0.000000,0
2020-10-15,sh.000910,2732.4852,2733.1926,2698.7804,2700.8315,1838707051,28534094838.0000,3,0.490506,1,-0.921146,0.000000,0.000000,0.000000,0.000000,0
2020-10-16,sh.000910,2697.1888,2708.5670,2668.3418,2680.2202,1604662280,25020034104.0000,3,0.428071,1,-0.763146,0.000000,0.000000,0.000000,0.000000,0
2020-10-19,sh.000910,2692.2978,2695.9786,2639.7443,2645.6831,1630570146,25555778750.0000,3,0.434982,1,-1.288592,0.000000,0.000000,0.000000,0.000000,0
2020-10-20,sh.000910,2645.9132,2666.6638,2633.4334,2666.1908,1323021748,20977156295.0000,3,0.352938,1,0.775138,0.000000,0.000000,0.000000,0.000000,0
2020-10-21,sh.000910,2671.5599,2671.9546,2627.4484,2643.6059,1562707958,22327859173.0000,3,0.416879,1,-0.847085,0.000000,0.000000,0.000000,0.000000,0
2020-10-22,sh.000910,2629.1353,2629.2928,2591.2332,2614.4331,1237028083,20544875807.0000,3,0.329998,1,-1.103523,0.000000,0.000000,0.000000,0.000000,0
2020-10-23,sh.000910,2615.5328,2625.2336,2564.5746,2573.3655,1784041957,24223029893.0000,3,0.475923,1,-1.570803,0.000000,0.000000,0.000000,0.000000,0
2020-10-26,sh.000910,2562.3919,2601.6702,2535.7819,2594.6748,2101804822,24827335544.0000,3,0.560692,1,0.828071,0.000000,0.000000,0.000000,0.000000,0
2020-10-27,sh.000910,2583.3023,2595.3423,2568.9606,2593.3352,1693311939,21345697453.0000,3,0.451720,1,-0.051629,0.000000,0.000000,0.000000,0.000000,0
2020-10-28,sh.000910,2591.2106,2609.1766,2567.5712,2603.7989,1711329321,23525115388.0000,3,0.456526,1,0.403484,0.000000,0.000000,0.000000,0.000000,0
2020-10-29,sh.000910,2573.8991,2627.9355,2565.4915,2621.9784,1752268636,27360739567.0000,3,0.467447,1,0.698191,0.000000,0.000000,0.000000,0.000000,0
2020-10-30,sh.000910,2633.1623,2638.7818,2577.3919,2590.5168,2445840355,34424840777.0000,3,0.652469,1,-1.199918,0.000000,0.000000,0.000000,0.000000,0
