date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.000925,4018.6816,4037.8975,4016.4583,4021.5318,2279000767,42808218914.0000,3,0.131560,1,0.950286,0.000000,0.000000,0.000000,0.000000,0
2020-10-12,sh.000925,4032.3591,4116.0088,4032.3591,4110.9258,3870417981,66521466904.0000,3,0.223427,1,2.222884,0.000000,0.000000,0.000000,0.000000,0
2020-10-13,sh.000925,4102.9332,4112.2409,4084.5269,4107.4450,2643589609,41410105124.0000,3,0.152606,1,-0.084672,0.000000,0.000000,0.000000,0.000000,0
2020-10-14,sh.000925,4107.4192,4107.4929,4079.1595,4092.9228,2486635458,43228994395.0000,3,0.143546,1,-0.353558,0.000000,0.000000,0.000000,0.000000,0
2020-10-15,sh.000925,4093.3066,4137.8808,4093.3066,4108.8168,2853999733,46390607293.0000,3,0.164752,1,0.388329,0.000000,0.000000,0.000000,0.000000,0
2020-10-16,sh.000925,4109.7210,4158.1175,4109.7210,4139.7356,3838178059,51346508235.0000,3,0.221566,1,0.752499,0.000000,0.000000,0.000000,0.000000,0
2020-10-19,sh.000925,4159.3673,4228.6176,4133.4752,4138.3812,4468402407,60184840602.0000,3,0.257947,1,-0.032717,0.000000,0.000000,0.000000,0.000000,0
2020-10-20,sh.000925,4132.1058,4136.2707,4114.2878,4133.3873,2678183284,40852484342.0000,3,0.154599,1,-0.120673,0.000000,0.000000,0.000000,0.000000,0
2020-10-21,sh.000925,4137.4455,4179.7810,4123.3877,4177.6147,3236126969,44599577188.0000,3,0.186806,1,1.070004,0.000000,0.000000,0.000000,0.000000,0
2020-10-22,sh.000925,4169.2492,4189.8532,4134.8771,4167.2900,2854312035,47456280277.0000,3,0.164766,1,-0.247143,0.000000,0.000000,0.000000,0.000000,0
2020-10-23,sh.000925,4159.9885,4218.9417,4159.3722,4181.7471,3710588652,52790764590.0000,3,0.214194,1,0.346919,0.000000,0.000000,0.000000,0.000000,0
2020-10-26,sh.000925,4189.7379,4194.0459,4135.4314,4148.8923,3604290085,56264353642.0000,3,0.208058,1,-0.785672,0.000000,0.000000,0.000000,0.000000,0
2020-10-27,sh.000925,4140.5589,4142.6670,4118.8639,4122.2766,2739710566,44786484324.0000,3,0.158150,1,-0.641513,0.000000,0.000000,0.000000,0.000000,0
2020-10-28,sh.000925,4120.1141,4128.0716,4082.7268,4103.2452,2914093852,48885153188.0000,3,0.168217,1,-0.461672,0.000000,0.000000,0.000000,0.000000,0
2020-10-29,sh.000925,4069.7003,4145.8625,4069.1323,4116.8293,2878808187,57054173664.0000,3,0.166180,1,0.331057,0.000000,0.000000,0.000000,0.000000,0
2020-10-30,sh.000925,4124.2768,4154.4388,4077.5516,4087.9156,3623105967,59208001157.0000,3,0.209144,1,-0.702329,0.000000,0.000000,0.000000,0.000000,0
