date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.000933,14481.1732,14662.6768,14441.7639,14617.3703,1112823200,41989325891.0000,3,1.098637,1,2.632469,0.000000,0.000000,0.000000,0.000000,0
2020-10-12,sh.000933,14726.8445,15077.6858,14718.8249,15077.0200,1375916700,52056228186.1000,3,1.358295,1,3.144544,0.000000,0.000000,0.000000,0.000000,0
2020-10-13,sh.000933,15084.9876,15275.5599,15016.0946,15224.8871,1223340200,49712327434.2000,3,1.207672,1,0.980745,0.000000,0.000000,0.000000,0.000000,0
2020-10-14,sh.000933,15213.6626,15324.0043,15114.9478,15139.6819,1262169000,48896714896.0000,3,1.246004,1,-0.559644,0.000000,0.000000,0.000000,0.000000,0
2020-10-15,sh.000933,15141.8721,15152.3066,14947.5667,15017.9121,1028937500,36859449620.0000,3,1.015759,1,-0.804309,0.000000,0.000000,0.000000,0.000000,0
2020-10-16,sh.000933,15021.5491,15129.7887,14842.8586,15063.4453,1162082100,39245332079.1000,3,1.147105,1,0.303193,0.000000,0.000000,0.000000,0.000000,0
2020-10-19,sh.000933,15124.7350,15130.7566,14645.7139,14676.4170,1251245000,42839102853.0000,3,1.235119,1,-2.569321,0.000000,0.000000,0.000000,0.000000,0
2020-10-20,sh.000933,14649.8601,14825.8402,14551.7254,14820.3695,894132900,31593104632.2000,3,0.882609,1,0.980842,0.000000,0.000000,0.000000,0.000000,0
2020-10-21,sh.000933,14867.5612,15029.2463,14745.0076,14787.8091,990410700,37585938330.0000,3,0.977646,1,-0.219700,0.000000,0.000000,0.000000,0.000000,0
2020-10-22,sh.000933,14733.2808,14733.2808,14405.3238,14549.1374,906972300,34222509724.1000,3,0.895286,1,-1.613976,0.000000,0.000000,0.000000,0.000000,0
2020-10-23,sh.000933,14568.7292,14664.4617,14002.3312,14073.3153,984564100,40445606129.4000,3,0.971878,1,-3.270449,0.000000,0.000000,0.000000,0.000000,0
2020-10-26,sh.000933,13964.3645,14243.5879,13810.5824,14192.3175,768563200,30569554787.9000,3,0.758660,1,0.845588,0.000000,0.000000,0.000000,0.000000,0
2020-10-27,sh.000933,14204.1676,14542.2911,14148.3125,14518.8261,882727100,35254065537.0000,3,0.869596,1,2.300601,0.000000,0.000000,0.000000,0.000000,0
2020-10-28,sh.000933,14542.0588,14615.7599,14383.5369,14575.6560,958830500,34055829504.0000,3,0.944568,1,0.391422,0.000000,0.000000,0.000000,0.000000,0
2020-10-29,sh.000933,14448.4143,14916.8204,14431.6902,14845.9987,1281479100,46666468270.0000,3,1.262242,1,1.854755,0.000000,0.000000,0.000000,0.000000,0
2020-10-30,sh.000933,14886.4578,14910.1238,14497.0354,14559.9777,1181791300,43252331134.3000,3,1.164050,1,-1.926586,0.000000,0.000000,0.000000,0.000000,0
