date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.000957,1428.4630,1448.4234,1427.4960,1441.1425,528656366,5752767421.0000,3,0.421960,1,2.355281,0.000000,0.000000,0.000000,0.000000,0
2020-10-12,sh.000957,1447.2312,1468.1613,1437.0780,1462.9765,680469858,7064456049.0000,3,0.543133,1,1.515048,0.000000,0.000000,0.000000,0.000000,0
2020-10-13,sh.000957,1464.8090,1488.1163,1456.4535,1481.3426,535119042,6200948380.0000,3,0.427118,1,1.255393,0.000000,0.000000,0.000000,0.000000,0
2020-10-14,sh.000957,1480.0590,1488.1059,1472.1971,1486.8212,542353048,6457173551.0000,3,0.432892,1,0.369840,0.000000,0.000000,0.000000,0.000000,0
2020-10-15,sh.000957,1478.5669,1480.4202,1457.3143,1459.7471,430009408,4918344232.0000,3,0.343222,1,-1.820939,0.000000,0.000000,0.000000,0.000000,0
2020-10-16,sh.000957,1458.0676,1468.0307,1449.7141,1457.9609,367764620,3939561438.0000,3,0.293540,1,-0.122364,0.000000,0.000000,0.000000,0.000000,0
2020-10-19,sh.000957,1463.6212,1471.0732,1451.9039,1453.8828,380213672,3813528183.0000,3,0.303477,1,-0.279713,0.000000,0.000000,0.000000,0.000000,0
2020-10-20,sh.000957,1453.2916,1463.9097,1448.6473,1462.8073,352632097,4074865749.0000,3,0.281462,1,0.613839,0.000000,0.000000,0.000000,0.000000,0
2020-10-21,sh.000957,1466.5677,1478.3584,1454.2009,1468.3681,529530467,5615038146.0000,3,0.422657,1,0.380146,0.000000,0.000000,0.000000,0.000000,0
2020-10-22,sh.000957,1457.8506,1458.1102,1436.4308,1448.6216,419706477,5715209700.0000,3,0.334999,1,-1.344792,0.000000,0.000000,0.000000,0.000000,0
2020-10-23,sh.000957,1447.6541,1449.9042,1427.7530,1430.5042,374827748,4048198188.0000,3,0.299178,1,-1.250665,0.000000,0.000000,0.000000,0.000000,0
2020-10-26,sh.000957,1427.2808,1440.8626,1413.5628,1431.4857,533587353,4806945235.0000,3,0.425896,1,0.068612,0.000000,0.000000,0.000000,0.000000,0
2020-10-27,sh.000957,1419.5060,1427.8517,1408.1381,1421.0767,459169747,4443364737.0000,3,0.366497,1,-0.727147,0.000000,0.000000,0.000000,0.000000,0
2020-10-28,sh.000957,1420.9311,1423.3657,1398.2894,1421.0244,485187309,4810100805.0000,3,0.387264,1,-0.003680,0.000000,0.000000,0.000000,0.000000,0
2020-10-29,sh.000957,1401.8269,1419.2627,1394.6002,1414.6027,434537255,5102898494.0000,3,0.346836,1,-0.451906,0.000000,0.000000,0.000000,0.000000,0
2020-10-30,sh.000957,1414.8398,1420.0524,1385.6763,1391.3778,525739629,6029619894.0000,3,0.419632,1,-1.641797,0.000000,0.000000,0.000000,0.000000,0
