date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.600000,9.4400,9.4800,9.4000,9.4200,39772687,375559366.0100,3,0.135500,1,0.319500,4.958699,0.550576,1.421608,2.092218,0
2020-10-12,sh.600000,9.4500,9.6300,9.4200,9.5900,66671637,637356691.4000,3,0.227100,1,1.804700,5.048188,0.560512,1.447264,2.129976,0
2020-10-13,sh.600000,9.5800,9.5900,9.5200,9.5400,28059097,267595710.6100,3,0.095600,1,-0.521400,5.021868,0.557590,1.439718,2.118871,0
2020-10-14,sh.600000,9.5400,9.5600,9.5000,9.5300,42969217,409511681.6600,3,0.146400,1,-0.104800,5.016604,0.557005,1.438209,2.116650,0
2020-10-15,sh.600000,9.5400,9.7200,9.5300,9.6200,66146732,637856656.3500,3,0.225400,1,0.944400,5.063980,0.562266,1.451791,2.136639,0
2020-10-16,sh.600000,9.6100,9.7700,9.6000,9.7200,74850236,726361115.9100,3,0.255000,1,1.039500,5.116620,0.568110,1.466882,2.158849,0
2020-10-19,sh.600000,9.7300,9.9300,9.6400,9.6500,84532385,826077895.1900,3,0.288000,1,-0.720200,5.079772,0.564019,1.456318,2.143302,0
2020-10-20,sh.600000,9.6300,9.6500,9.5100,9.5800,46687029,446894604.2400,3,0.159100,1,-0.725400,5.042924,0.559928,1.445754,2.127755,0
2020-10-21,sh.600000,9.5800,9.7000,9.5100,9.7000,61622129,592503578.5200,3,0.209900,1,1.252600,5.106092,0.566941,1.463864,2.154407,0
2020-10-22,sh.600000,9.6700,9.7600,9.5900,9.6500,47288884,456765638.5400,3,0.161100,1,-0.515500,5.079772,0.564019,1.456318,2.143302,0
2020-10-23,sh.600000,9.6300,9.7900,9.6200,9.7000,70954476,689493436.8500,3,0.241700,1,0.518100,5.106092,0.566941,1.463864,2.154407,0
2020-10-26,sh.600000,9.7200,9.7500,9.5900,9.6000,52711443,508770627.5400,3,0.179600,1,-1.030900,5.053452,0.561097,1.448773,2.132197,0
2020-10-27,sh.600000,9.5900,9.5900,9.4800,9.4800,38062780,362632658.5400,3,0.129700,1,-1.250000,4.990284,0.554083,1.430663,2.105544,0
2020-10-28,sh.600000,9.4800,9.5200,9.3800,9.4000,45881367,432093181.1100,3,0.156300,1,-0.843900,4.948172,0.549407,1.418590,2.087776,0
2020-10-29,sh.600000,9.3500,9.4500,9.3400,9.3700,43707348,409990836.3800,3,0.148900,1,-0.319100,4.932380,0.547654,1.414062,2.081113,0
2020-10-30,sh.600000,9.3800,9.4500,9.2500,9.2600,56060864,523487861.4900,3,0.191000,1,-1.174000,4.874476,0.541224,1.397462,2.056682,0
