date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.600007,13.2700,13.3300,13.1200,13.3000,1107885,14710156.7100,3,0.110000,1,1.526700,15.028415,1.764017,4.133565,14.282479,0
2020-10-12,sh.600007,13.3100,13.4800,13.3100,13.4500,1631581,21914282.2300,3,0.162000,1,1.127800,15.197908,1.783912,4.180184,14.443560,0
2020-10-13,sh.600007,13.4700,13.4700,13.2600,13.3300,1973813,26292716.2900,3,0.196000,1,-0.892200,15.062314,1.767996,4.142889,14.314695,0
2020-10-14,sh.600007,13.3600,13.3600,12.7500,12.8200,8081029,104734135.5900,3,0.802300,1,-3.826000,14.486036,1.700353,3.984384,13.767021,0
2020-10-15,sh.600007,12.8300,12.8800,12.6600,12.7600,3886419,49578552.1600,3,0.385800,1,-0.468000,14.418239,1.692395,3.965736,13.702589,0
2020-10-16,sh.600007,12.7300,12.9100,12.7300,12.8900,1495426,19177386.8800,3,0.148500,1,1.018800,14.565133,1.709637,4.006139,13.842192,0
2020-10-19,sh.600007,12.8600,12.9900,12.5000,12.6000,3458737,43992200.1400,3,0.343400,1,-2.249800,14.237446,1.671174,3.916009,13.530770,0
2020-10-20,sh.600007,12.6200,12.7500,12.4800,12.7400,1944555,24617156.9700,3,0.193000,1,1.111100,14.395640,1.689742,3.959520,13.681112,0
2020-10-21,sh.600007,12.6800,12.9000,12.6600,12.8200,2132731,27248506.7200,3,0.211700,1,0.627900,14.486036,1.700353,3.984384,13.767021,0
2020-10-22,sh.600007,12.8600,12.8600,12.6600,12.7200,1143100,14530425.7000,3,0.113500,1,-0.780000,14.373040,1.687090,3.953304,13.659634,0
2020-10-23,sh.600007,12.7500,12.7500,12.6000,12.6200,1126849,14271573.4500,3,0.111900,1,-0.786200,14.260045,1.673826,3.922225,13.552247,0
2020-10-26,sh.600007,12.6000,12.6000,12.4500,12.5500,1476408,18467854.9300,3,0.146600,1,-0.554700,14.180948,1.664542,3.900469,13.477076,0
2020-10-27,sh.600007,12.4700,12.6500,12.4500,12.6000,1021453,12822014.9200,3,0.101400,1,0.398400,14.237446,1.671174,3.916009,13.530770,0
2020-10-28,sh.600007,12.5800,12.6400,12.4400,12.5500,1077166,13500917.6000,3,0.106900,1,-0.396800,14.180948,1.664542,3.900469,13.477076,0
2020-10-29,sh.600007,12.4100,12.6100,12.3000,12.5600,960225,11998256.9200,3,0.095300,1,0.079700,14.192247,1.665868,3.903577,13.487815,0
2020-10-30,sh.600007,12.5500,12.6800,12.3000,12.3100,2266892,28298292.5200,3,0.225100,1,-1.990400,13.909758,1.632710,3.825879,13.219347,0
