date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.600010,1.1600,1.1700,1.1500,1.1600,161196716,187275288.2700,3,0.508900,1,0.869600,-182.702848,1.003748,0.866276,-104.394709,0
2020-10-12,sh.600010,1.1600,1.1900,1.1600,1.1800,289024352,339412723.0600,3,0.912400,1,1.724100,-185.852897,1.021054,0.881212,-106.194618,0
2020-10-13,sh.600010,1.1800,1.1900,1.1700,1.1800,153329895,180640309.1500,3,0.484000,1,0.000000,-185.852897,1.021054,0.881212,-106.194618,0
2020-10-14,sh.600010,1.1700,1.1800,1.1600,1.1600,155477361,181868891.9000,3,0.490800,1,-1.694900,-182.702848,1.003748,0.866276,-104.394709,0
2020-10-15,sh.600010,1.1600,1.1800,1.1600,1.1700,179151512,209342183.6100,3,0.565600,1,0.862100,-184.277873,1.012401,0.873744,-105.294664,0
2020-10-16,sh.600010,1.1700,1.1800,1.1600,1.1700,158338943,185675130.5100,3,0.499900,1,0.000000,-184.277873,1.012401,0.873744,-105.294664,0
2020-10-19,sh.600010,1.1800,1.1900,1.1700,1.1800,152042139,179118415.2100,3,0.480000,1,0.854700,-185.852897,1.021054,0.881212,-106.194618,0
2020-10-20,sh.600010,1.1700,1.1800,1.1600,1.1800,144360885,168777935.2200,3,0.455700,1,0.000000,-185.852897,1.021054,0.881212,-106.194618,0
2020-10-21,sh.600010,1.1800,1.1800,1.1600,1.1700,100016403,116932602.5100,3,0.315700,1,-0.847500,-184.277873,1.012401,0.873744,-105.294664,0
2020-10-22,sh.600010,1.1600,1.1700,1.1600,1.1600,82317928,95799997.4800,3,0.259900,1,-0.854700,-182.702848,1.003748,0.866276,-104.394709,0
2020-10-23,sh.600010,1.1700,1.1700,1.1500,1.1600,162328937,188547477.0900,3,0.512400,1,0.000000,-182.702848,1.003748,0.866276,-104.394709,0
2020-10-26,sh.600010,1.1600,1.1700,1.1500,1.1700,105774605,122730595.9700,3,0.333900,1,0.862100,-184.277873,1.012401,0.873744,-105.294664,0
2020-10-27,sh.600010,1.1600,1.1700,1.1500,1.1600,98044832,113620557.0000,3,0.309500,1,-0.854700,-182.702848,1.003748,0.866276,-104.394709,0
2020-10-28,sh.600010,1.1600,1.1700,1.1500,1.1600,100131623,116170134.2800,3,0.316100,1,0.000000,-182.702848,1.003748,0.866276,-104.394709,0
2020-10-29,sh.600010,1.1600,1.1600,1.1500,1.1500,96616169,111619888.3500,3,0.305000,1,-0.862100,-181.127824,0.995095,0.858808,-103.494755,0
2020-10-30,sh.600010,1.1600,1.1600,1.1400,1.1400,169993530,195123832.6800,3,0.536600,1,-0.869600,-146.906002,0.983091,0.867544,-20.512009,0
