date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.600011,5.4100,5.5600,5.3900,5.4100,19430140,106080722.8800,3,0.176700,1,0.000000,23.653112,1.120700,0.502113,48.256644,0
2020-10-12,sh.600011,5.4400,5.5300,5.3700,5.5000,19832869,108420392.8800,3,0.180300,1,1.663600,24.046602,1.139344,0.510466,49.059435,0
2020-10-13,sh.600011,5.4900,5.5000,5.2900,5.4300,28631073,153928347.7500,3,0.260300,1,-1.272700,23.740555,1.124843,0.503969,48.435042,0
2020-10-14,sh.600011,5.4100,5.4100,5.2200,5.2400,31828770,168184068.9900,3,0.289400,1,-3.499100,22.909854,1.085484,0.486335,46.740261,0
2020-10-15,sh.600011,5.2700,5.2800,5.1400,5.1800,28623974,148311043.8600,3,0.260300,1,-1.145000,22.647527,1.073055,0.480766,46.205068,0
2020-10-16,sh.600011,5.1800,5.3700,5.1400,5.2800,22273694,117606057.9800,3,0.202500,1,1.930500,23.084738,1.093770,0.490047,47.097057,0
2020-10-19,sh.600011,5.2600,5.3200,5.1300,5.1700,22493433,117244211.9500,3,0.204500,1,-2.083300,22.603806,1.070983,0.479838,46.115869,0
2020-10-20,sh.600011,5.1500,5.2800,5.1500,5.2300,18107694,94868021.9200,3,0.164600,1,1.160500,22.866133,1.083413,0.485406,46.651063,0
2020-10-21,sh.600011,5.2200,5.2600,5.1300,5.1400,15938608,82296200.8500,3,0.144900,1,-1.720800,22.472643,1.064769,0.477053,45.848272,0
2020-10-22,sh.600011,5.1300,5.1600,5.0100,5.0200,22896140,115798185.9300,3,0.208200,1,-2.334600,21.947990,1.039910,0.465916,44.777884,0
2020-10-23,sh.600011,5.0400,5.0500,4.9500,4.9600,14759218,73800010.6900,3,0.134200,1,-1.195200,21.685663,1.027481,0.460347,44.242690,0
2020-10-26,sh.600011,5.0000,5.2800,4.9500,5.2500,48375816,247711276.8600,3,0.439900,1,5.846800,22.953575,1.087556,0.487263,46.829460,0
2020-10-27,sh.600011,5.2100,5.2200,5.0200,5.0800,35389129,181131901.2400,3,0.321800,1,-3.238100,22.210316,1.052340,0.471485,45.313078,0
2020-10-28,sh.600011,5.1600,5.2000,4.9700,5.0000,38412209,193468266.0400,3,0.349300,1,-1.574800,14.464668,0.991214,0.467208,-35.935888,0
2020-10-29,sh.600011,5.0000,5.0900,4.9500,4.9900,28823696,144253622.5900,3,0.262100,1,-0.200000,14.435738,0.989231,0.466273,-35.864016,0
2020-10-30,sh.600011,4.9800,5.0300,4.8600,4.8800,20919121,103423335.1000,3,0.190200,1,-2.204400,14.117516,0.967425,0.455995,-35.073427,0
