date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.600015,6.1600,6.1700,6.1500,6.1600,15951391,98231905.1100,3,0.124400,1,0.489400,4.579221,0.451408,1.024507,-0.903733,0
2020-10-12,sh.600015,6.1500,6.2600,6.1500,6.2400,19590893,121745738.4100,3,0.152800,1,1.298700,4.638692,0.457270,1.037812,-0.915470,0
2020-10-13,sh.600015,6.2300,6.2400,6.2000,6.2200,11884865,73934129.4200,3,0.092700,1,-0.320500,4.623824,0.455805,1.034486,-0.912535,0
2020-10-14,sh.600015,6.2300,6.2400,6.1800,6.2000,11751141,72859162.6400,3,0.091600,1,-0.321500,4.608956,0.454339,1.031159,-0.909601,0
2020-10-15,sh.600015,6.2000,6.3200,6.1900,6.2400,20252746,126645812.7500,3,0.157900,1,0.645200,4.638692,0.457270,1.037812,-0.915470,0
2020-10-16,sh.600015,6.2200,6.3400,6.2200,6.2700,35641115,223937825.3300,3,0.278000,1,0.480800,4.660993,0.459469,1.042801,-0.919871,0
2020-10-19,sh.600015,6.2800,6.4100,6.2800,6.3000,34207959,216933748.5100,3,0.266800,1,0.478500,4.683294,0.461667,1.047791,-0.924272,0
2020-10-20,sh.600015,6.3000,6.3100,6.2200,6.2400,21977407,137179746.3600,3,0.171400,1,-0.952400,4.638692,0.457270,1.037812,-0.915470,0
2020-10-21,sh.600015,6.2400,6.3500,6.2200,6.3400,30547719,192108929.9800,3,0.238200,1,1.602600,4.713030,0.464599,1.054443,-0.930141,0
2020-10-22,sh.600015,6.3100,6.3800,6.2800,6.2900,24440415,154309732.3300,3,0.190600,1,-0.788600,4.675861,0.460934,1.046128,-0.922805,0
2020-10-23,sh.600015,6.2900,6.3800,6.2800,6.3600,38199370,242508099.6400,3,0.297900,1,1.112900,4.727897,0.466064,1.057770,-0.933075,0
2020-10-26,sh.600015,6.3500,6.3700,6.2400,6.2400,30475181,191451084.1300,3,0.237700,1,-1.886800,4.638692,0.457270,1.037812,-0.915470,0
2020-10-27,sh.600015,6.2300,6.2500,6.2000,6.2400,14823134,92246636.0000,3,0.115600,1,0.000000,4.638692,0.457270,1.037812,-0.915470,0
2020-10-28,sh.600015,6.2400,6.2400,6.1500,6.1800,16900904,104466077.9500,3,0.131800,1,-0.961500,4.594089,0.452874,1.027833,-0.906667,0
2020-10-29,sh.600015,6.1500,6.1900,6.1400,6.1600,13652417,84098310.1200,3,0.106500,1,-0.323600,4.579221,0.451408,1.024507,-0.903733,0
2020-10-30,sh.600015,6.1600,6.2000,6.0500,6.0600,32402858,198360381.4300,3,0.252700,1,-1.623400,4.504883,0.444080,1.007875,-0.889062,0
