date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.600026,7.1500,7.4200,7.1500,7.3700,24674658,180973679.9800,3,0.901800,1,4.243300,12.229848,0.980463,2.126781,11.674326,0
2020-10-12,sh.600026,7.4500,7.4900,7.3700,7.4800,23236665,172773733.5700,3,0.849300,1,1.492500,12.412383,0.995097,2.158524,11.848569,0
2020-10-13,sh.600026,7.4600,7.4700,7.2800,7.3900,19025613,139910692.2400,3,0.695400,1,-1.203200,12.263037,0.983124,2.132552,11.706006,0
2020-10-14,sh.600026,7.3600,7.4300,7.3000,7.3900,17073324,125687629.4800,3,0.624000,1,0.000000,12.263037,0.983124,2.132552,11.706006,0
2020-10-15,sh.600026,7.3700,7.4400,7.3100,7.3700,13967395,102979767.2800,3,0.510500,1,-0.270600,12.229848,0.980463,2.126781,11.674326,0
2020-10-16,sh.600026,7.3500,7.4300,7.3100,7.3800,12185309,89976178.7700,3,0.445400,1,0.135700,12.246442,0.981794,2.129667,11.690166,0
2020-10-19,sh.600026,7.3800,7.5500,7.3200,7.3600,21723297,161355861.0500,3,0.794000,1,-0.271000,12.213254,0.979133,2.123895,11.658485,0
2020-10-20,sh.600026,7.3200,7.4000,7.2500,7.3400,11588618,84780970.1500,3,0.423600,1,-0.271700,12.180066,0.976472,2.118124,11.626805,0
2020-10-21,sh.600026,7.3100,7.3600,7.2100,7.3000,14597352,106121156.6400,3,0.533500,1,-0.545000,12.113690,0.971151,2.106581,11.563443,0
2020-10-22,sh.600026,7.4000,7.5700,7.3500,7.3500,33656176,250468524.8800,3,1.230100,1,0.684900,12.196660,0.977803,2.121009,11.642645,0
2020-10-23,sh.600026,7.3700,7.3700,7.2500,7.2500,18636040,136122072.2700,3,0.681100,1,-1.360500,12.030719,0.964499,2.092152,11.484241,0
2020-10-26,sh.600026,7.2300,7.2600,7.1200,7.2100,13061353,93786616.4800,3,0.477400,1,-0.551700,11.964343,0.959178,2.080609,11.420880,0
2020-10-27,sh.600026,7.1500,7.1700,7.0300,7.1000,14653309,103951540.1100,3,0.535600,1,-1.525700,11.781808,0.944544,2.048866,11.246637,0
2020-10-28,sh.600026,7.0500,7.1400,6.9700,7.1400,15077546,106407284.1600,3,0.551100,1,0.563400,11.848184,0.949865,2.060409,11.309998,0
2020-10-29,sh.600026,7.0400,7.2500,7.0300,7.2300,17800249,127421934.1400,3,0.650600,1,1.260500,11.997531,0.961839,2.086381,11.452561,0
2020-10-30,sh.600026,7.1500,7.1800,6.5100,6.5800,70450822,477727558.6100,3,2.574900,1,-8.990300,9.876532,0.869576,1.883847,14.741855,0
