date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.600029,5.9200,5.9400,5.8500,5.8700,44100967,259211420.9700,3,0.543700,1,1.206900,-12.475115,1.260708,0.747696,5.687567,0
2020-10-12,sh.600029,5.8800,5.9900,5.7800,5.9900,74220122,437335717.0600,3,0.915000,1,2.044300,-12.730143,1.286480,0.762981,5.803838,0
2020-10-13,sh.600029,6.0100,6.0500,5.9400,6.0500,67853304,407126961.7400,3,0.836500,1,1.001700,-12.857657,1.299366,0.770624,5.861973,0
2020-10-14,sh.600029,6.0200,6.0500,5.9400,6.0100,56387984,338447305.9900,3,0.695200,1,-0.661200,-12.772648,1.290776,0.765529,5.823216,0
2020-10-15,sh.600029,5.8800,5.9500,5.8600,5.8700,57462858,338399628.8000,3,0.708400,1,-2.329500,-12.475115,1.260708,0.747696,5.687567,0
2020-10-16,sh.600029,5.8600,5.8900,5.8000,5.8700,24950537,145605504.5000,3,0.307600,1,0.000000,-12.475115,1.260708,0.747696,5.687567,0
2020-10-19,sh.600029,5.8700,5.9400,5.8500,5.8900,30386783,179154090.6400,3,0.374600,1,0.340700,-12.517620,1.265003,0.750244,5.706946,0
2020-10-20,sh.600029,5.9200,5.9200,5.8200,5.8600,22402928,131232814.5800,3,0.276200,1,-0.509300,-12.453863,1.258560,0.746423,5.677878,0
2020-10-21,sh.600029,5.8700,6.0000,5.8500,5.9800,56958026,338458559.3500,3,0.702200,1,2.047800,-12.708891,1.284332,0.761708,5.794149,0
2020-10-22,sh.600029,5.9400,6.0200,5.8200,5.9300,38219327,225750480.1900,3,0.471200,1,-0.836100,-12.602629,1.273594,0.755339,5.745703,0
2020-10-23,sh.600029,5.9400,5.9700,5.8800,5.9000,24444941,144906857.4500,3,0.301400,1,-0.505900,-12.538872,1.267151,0.751518,5.716635,0
2020-10-26,sh.600029,5.8500,5.8600,5.7300,5.7700,38304855,221491603.5500,3,0.472200,1,-2.203400,-12.262592,1.239230,0.734959,5.590675,0
2020-10-27,sh.600029,5.7400,5.7500,5.6100,5.6600,48315225,274063987.3100,3,0.595600,1,-1.906400,-12.028816,1.215606,0.720947,5.484094,0
2020-10-28,sh.600029,5.6300,5.7100,5.5200,5.6900,39757303,222950777.1600,3,0.490100,1,0.530000,-12.092573,1.222049,0.724769,5.513162,0
2020-10-29,sh.600029,5.5800,5.6700,5.5500,5.6600,44176413,247563975.2400,3,0.544600,1,-0.527200,-12.028816,1.215606,0.720947,5.484094,0
2020-10-30,sh.600029,5.6300,5.6800,5.5000,5.5100,45737554,255029529.9600,3,0.563900,1,-2.650200,-11.710031,1.183390,0.701841,5.338756,0
