date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.600030,30.5000,30.6300,30.3300,30.6000,81713875,2494231717.9100,3,0.832600,1,1.898100,26.892581,2.246941,8.225043,9.932327,0
2020-10-12,sh.600030,30.9000,31.8500,30.7900,31.7200,163377337,5143534780.2200,3,1.664600,1,3.660100,27.876884,2.329182,8.526090,10.295863,0
2020-10-13,sh.600030,31.4800,31.4800,31.1900,31.3500,92755234,2905979211.4400,3,0.945100,1,-1.166500,27.551712,2.302013,8.426637,10.175767,0
2020-10-14,sh.600030,31.3500,31.4500,30.8800,30.9500,73673058,2288273122.1200,3,0.750600,1,-1.275900,27.200175,2.272641,8.319120,10.045932,0
2020-10-15,sh.600030,31.0000,31.4000,30.9300,30.9700,63153489,1966195278.2600,3,0.643500,1,0.064600,27.217752,2.274110,8.324496,10.052424,0
2020-10-16,sh.600030,30.9700,31.2500,30.9000,31.0800,65919939,2048140761.5100,3,0.671600,1,0.355200,27.314425,2.282187,8.354063,10.088128,0
2020-10-19,sh.600030,31.4000,31.6500,30.8800,30.8800,96885397,3030673548.2300,3,0.987100,1,-0.643500,27.138656,2.267501,8.300305,10.023211,0
2020-10-20,sh.600030,30.8100,30.8900,30.2200,30.6500,85882144,2620081753.9900,3,0.875000,1,-0.744800,26.936523,2.250612,8.238482,9.948557,0
2020-10-21,sh.600030,30.5700,30.7100,30.2800,30.4300,67498885,2052696402.7500,3,0.687700,1,-0.717800,26.743177,2.234458,8.179348,9.877148,0
2020-10-22,sh.600030,30.3800,30.6700,30.1000,30.4400,76701663,2328222113.5800,3,0.781500,1,0.032900,26.751966,2.235192,8.182036,9.880393,0
2020-10-23,sh.600030,30.3900,30.6900,30.1000,30.1000,78831842,2398658482.6600,3,0.803200,1,-1.117000,26.453159,2.210226,8.090647,9.770034,0
2020-10-26,sh.600030,29.9300,29.9300,28.9000,29.0200,138435135,4045035949.1400,3,1.410500,1,-3.588000,25.504009,2.130922,7.800351,9.419482,0
2020-10-27,sh.600030,29.0000,29.0800,28.5500,28.9700,87771214,2532515447.8000,3,0.894300,1,-0.172300,25.460067,2.127251,7.786911,9.403252,0
2020-10-28,sh.600030,28.8900,29.4400,28.7900,29.2600,77685048,2264163699.6400,3,0.791500,1,1.001000,25.714932,2.148545,7.864861,9.497382,0
2020-10-29,sh.600030,28.9600,30.0000,28.8100,29.6200,103831863,3059199832.0100,3,1.057900,1,1.230300,26.031315,2.174980,7.961626,9.614233,0
2020-10-30,sh.600030,29.3600,29.5900,28.6200,28.6300,103385375,3004371218.1900,3,1.053400,1,-3.342300,25.759604,2.058986,7.068194,4.237052,0
