date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.600035,2.8900,2.9300,2.8900,2.9200,3913612,11417830.4400,3,0.243900,1,1.388900,12.806501,0.712256,1.993198,108.142292,0
2020-10-12,sh.600035,2.9200,2.9600,2.9200,2.9600,5952996,17520825.2800,3,0.371000,1,1.369900,12.981933,0.722013,2.020502,109.623694,0
2020-10-13,sh.600035,2.9500,2.9500,2.9300,2.9400,2982580,8778961.2000,3,0.185900,1,-0.675700,12.894217,0.717134,2.006850,108.882993,0
2020-10-14,sh.600035,2.9300,2.9400,2.9000,2.9100,3570800,10415556.0000,3,0.222600,1,-1.020400,12.762643,0.709817,1.986372,107.771942,0
2020-10-15,sh.600035,2.9100,2.9100,2.8800,2.8900,4596119,13310183.9100,3,0.286500,1,-0.687300,12.674928,0.704938,1.972720,107.031241,0
2020-10-16,sh.600035,2.8900,2.9100,2.8800,2.9000,3371100,9781390.0000,3,0.210100,1,0.346000,12.718786,0.707377,1.979546,107.401592,0
2020-10-19,sh.600035,2.9100,2.9300,2.9000,2.9200,4680526,13624170.1100,3,0.291700,1,0.689700,12.806501,0.712256,1.993198,108.142292,0
2020-10-20,sh.600035,2.9100,2.9100,2.8900,2.9100,2710849,7860926.1000,3,0.169000,1,-0.342500,12.762643,0.709817,1.986372,107.771942,0
2020-10-21,sh.600035,2.9100,2.9100,2.8800,2.8900,1913845,5541976.0700,3,0.119300,1,-0.687300,12.674928,0.704938,1.972720,107.031241,0
2020-10-22,sh.600035,2.8900,2.9000,2.8800,2.8900,2418396,6990255.4400,3,0.150700,1,0.000000,12.674928,0.704938,1.972720,107.031241,0
2020-10-23,sh.600035,2.9000,2.9000,2.8800,2.8800,2034900,5886918.6500,3,0.126800,1,-0.346000,12.631070,0.702499,1.965894,106.660891,0
2020-10-26,sh.600035,2.8800,2.8900,2.8600,2.8700,2665000,7654226.0000,3,0.166100,1,-0.347200,12.587212,0.700060,1.959068,106.290541,0
2020-10-27,sh.600035,2.8600,2.8700,2.8400,2.8600,3118920,8904887.0000,3,0.194400,1,-0.348400,12.543354,0.697620,1.952242,105.920191,0
2020-10-28,sh.600035,2.8600,2.8600,2.8200,2.8500,2468696,7005400.6000,3,0.153900,1,-0.349700,12.499496,0.695181,1.945416,105.549840,0
2020-10-29,sh.600035,2.8300,2.8600,2.8200,2.8600,4422755,12532432.6500,3,0.275700,1,0.350900,12.543354,0.697620,1.952242,105.920191,0
2020-10-30,sh.600035,2.8500,2.8800,2.8100,2.8300,5370896,15315238.7600,3,0.334800,1,-1.049000,11.780656,0.722446,1.792889,129.243594,0
