date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.600036,36.4000,36.8000,36.1300,36.1800,49472433,1799276677.9900,3,0.239800,1,0.500000,9.913345,1.524657,3.261618,-11.665823,0
2020-10-12,sh.600036,36.4000,37.6500,36.3000,37.5600,99864635,3712613342.0600,3,0.484100,1,3.814300,10.291466,1.582812,3.386025,-12.110788,0
2020-10-13,sh.600036,37.4800,38.0100,37.1300,37.7900,51141560,1928053923.5100,3,0.247900,1,0.612400,10.354486,1.592504,3.406759,-12.184949,0
2020-10-14,sh.600036,37.8000,38.1000,37.3900,38.0500,64294015,2431581141.3900,3,0.311700,1,0.688000,10.425726,1.603461,3.430198,-12.268783,0
2020-10-15,sh.600036,38.1400,39.2300,38.0500,39.0100,119665720,4656771634.9600,3,0.580100,1,2.523000,10.688767,1.643916,3.516742,-12.578324,0
2020-10-16,sh.600036,38.9100,40.2000,38.8800,39.7800,110589580,4401811725.0800,3,0.536100,1,1.973900,10.899747,1.676364,3.586157,-12.826601,0
2020-10-19,sh.600036,40.2900,41.5500,39.8900,39.9900,98154659,3988837839.6000,3,0.475800,1,0.527900,10.957288,1.685214,3.605089,-12.894314,0
2020-10-20,sh.600036,40.0000,40.3100,39.7000,39.9700,42436836,1697045434.2300,3,0.205700,1,-0.050000,10.951808,1.684371,3.603286,-12.887865,0
2020-10-21,sh.600036,40.0600,40.8700,39.9900,40.8000,54185565,2193121567.1700,3,0.262700,1,2.076600,11.179228,1.719348,3.678110,-13.155489,0
2020-10-22,sh.600036,41.0000,42.0000,40.3300,41.1900,64497499,2649384824.2100,3,0.312700,1,0.955900,11.286088,1.735783,3.713269,-13.281240,0
2020-10-23,sh.600036,40.9100,42.1000,40.8600,41.2200,55183362,2298420661.2000,3,0.267500,1,0.072800,11.294308,1.737047,3.715973,-13.290913,0
2020-10-26,sh.600036,41.6600,41.6600,40.0800,40.6200,50454000,2050594686.4700,3,0.244600,1,-1.455600,11.129908,1.711763,3.661883,-13.097450,0
2020-10-27,sh.600036,40.6200,41.2500,40.3300,40.4500,45883207,1867751092.9300,3,0.222400,1,-0.418500,11.083328,1.704599,3.646558,-13.042635,0
2020-10-28,sh.600036,40.6300,41.0800,39.6100,40.1000,69355712,2787606058.2000,3,0.336200,1,-0.865300,10.987428,1.689850,3.615005,-12.929782,0
2020-10-29,sh.600036,39.7500,40.8600,39.6700,40.1900,52307034,2105440051.7100,3,0.253600,1,0.224400,11.012088,1.693642,3.623119,-12.958801,0
2020-10-30,sh.600036,40.5000,41.1500,39.5800,39.8100,43842279,1766506296.4500,3,0.212500,1,-0.945500,10.907968,1.677629,3.588862,-12.836275,0
