date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.600039,4.3000,4.3800,4.3000,4.3100,13466991,58480377.7000,3,0.373000,1,0.700900,8.278429,0.967382,0.290713,40.859745,0
2020-10-12,sh.600039,4.3300,4.3800,4.3200,4.3700,16492686,71843577.8000,3,0.456800,1,1.392100,8.393674,0.980849,0.294760,41.428558,0
2020-10-13,sh.600039,4.3700,4.3700,4.3400,4.3500,9768691,42498339.6300,3,0.270600,1,-0.457700,8.355259,0.976360,0.293411,41.238954,0
2020-10-14,sh.600039,4.3600,4.3800,4.3200,4.3500,9539462,41427875.5000,3,0.264200,1,0.000000,8.355259,0.976360,0.293411,41.238954,0
2020-10-15,sh.600039,4.3500,4.4600,4.3400,4.4400,21877384,96475238.9700,3,0.605900,1,2.069000,8.528126,0.996560,0.299482,42.092173,0
2020-10-16,sh.600039,4.3800,4.5000,4.3800,4.4600,16395222,72956527.9900,3,0.454100,1,0.450500,8.566541,1.001049,0.300831,42.281778,0
2020-10-19,sh.600039,4.5700,4.5900,4.4200,4.4500,26035950,116899604.5400,3,0.721100,1,-0.224200,8.547334,0.998805,0.300156,42.186975,0
2020-10-20,sh.600039,4.4300,4.4800,4.4100,4.4700,9211887,41016882.7500,3,0.255100,1,0.449400,8.585749,1.003294,0.301505,42.376580,0
2020-10-21,sh.600039,4.4500,4.4700,4.3800,4.4300,13665223,60267574.5800,3,0.378500,1,-0.894900,8.508919,0.994316,0.298807,41.997371,0
2020-10-22,sh.600039,4.4200,4.4200,4.3600,4.4100,9611173,42275922.8000,3,0.266200,1,-0.451500,8.470504,0.989827,0.297458,41.807767,0
2020-10-23,sh.600039,4.4000,4.4400,4.3800,4.3900,8539107,37651926.4800,3,0.236500,1,-0.453500,8.432089,0.985338,0.296109,41.618162,0
2020-10-26,sh.600039,4.3900,4.4000,4.2400,4.2800,19121708,82284829.0000,3,0.529600,1,-2.505700,8.220806,0.960648,0.288690,40.575338,0
2020-10-27,sh.600039,4.2900,4.2900,4.2300,4.2900,8883736,37872560.8400,3,0.246100,1,0.233600,8.240014,0.962893,0.289364,40.670140,0
2020-10-28,sh.600039,4.2600,4.2900,4.2000,4.2900,11811900,50295333.0000,3,0.327200,1,0.000000,8.240014,0.962893,0.289364,40.670140,0
2020-10-29,sh.600039,4.2400,4.2900,4.2100,4.2400,9918351,42150038.7100,3,0.274700,1,-1.165500,8.143976,0.951670,0.285991,40.196129,0
2020-10-30,sh.600039,4.3300,4.5400,4.3200,4.4600,53595526,237656745.7300,3,1.484400,1,5.188700,6.407057,0.956682,0.281607,31.260664,0
