date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.600050,4.9000,4.9300,4.8800,4.9200,63430127,311513129.0700,3,0.295000,1,1.443300,28.735502,1.046866,0.515603,-131.482841,0
2020-10-12,sh.600050,4.9300,5.0000,4.9200,5.0000,78923873,392464124.7000,3,0.367100,1,1.626000,29.202746,1.063888,0.523987,-133.620773,0
2020-10-13,sh.600050,5.0000,5.0000,4.9400,4.9700,65806644,326983237.4900,3,0.306100,1,-0.600000,29.027529,1.057505,0.520843,-132.819049,0
2020-10-14,sh.600050,4.9700,4.9800,4.9400,4.9700,57576434,285671472.0700,3,0.267800,1,0.000000,29.027529,1.057505,0.520843,-132.819049,0
2020-10-15,sh.600050,4.9600,4.9700,4.9200,4.9200,52939422,261660847.9800,3,0.246200,1,-1.006000,28.735502,1.046866,0.515603,-131.482841,0
2020-10-16,sh.600050,4.9300,4.9400,4.9100,4.9300,38828307,191167789.1300,3,0.180600,1,0.203300,28.793907,1.048994,0.516651,-131.750083,0
2020-10-19,sh.600050,4.9900,5.0300,4.9200,4.9300,81393210,405239865.6100,3,0.378600,1,0.000000,28.793907,1.048994,0.516651,-131.750083,0
2020-10-20,sh.600050,4.9200,4.9600,4.8900,4.9500,49914115,246319367.0500,3,0.232200,1,0.405700,28.910718,1.053250,0.518747,-132.284566,0
2020-10-21,sh.600050,4.9500,5.1000,4.9300,5.0900,224393404,1132708790.8100,3,1.043700,1,2.828300,29.728395,1.083038,0.533419,-136.025947,0
2020-10-22,sh.600050,5.0200,5.0200,4.9200,4.9500,159523981,792328935.3700,3,0.742000,1,-2.750500,28.171259,1.044970,0.513900,-18.766054,0
2020-10-23,sh.600050,4.9400,4.9600,4.9100,4.9200,72396805,357062189.6800,3,0.336700,1,-0.606100,28.000524,1.038637,0.510786,-18.652321,0
2020-10-26,sh.600050,4.9200,4.9600,4.9100,4.9200,64515394,317910722.6000,3,0.300100,1,0.000000,28.000524,1.038637,0.510786,-18.652321,0
2020-10-27,sh.600050,4.9000,4.9100,4.8800,4.8900,55791097,272921314.0600,3,0.259500,1,-0.609800,27.829789,1.032304,0.507671,-18.538587,0
2020-10-28,sh.600050,4.8800,4.8900,4.8300,4.8500,72222794,350207411.5800,3,0.335900,1,-0.818000,27.602142,1.023859,0.503518,-18.386942,0
2020-10-29,sh.600050,4.8100,4.8600,4.8000,4.8300,49356789,238237802.4500,3,0.229600,1,-0.412400,27.488319,1.019637,0.501442,-18.311120,0
2020-10-30,sh.600050,4.8300,4.8600,4.7500,4.7700,92684264,445477934.4400,3,0.431100,1,-1.242200,27.146849,1.006971,0.495213,-18.083652,0
