date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.600051,10.2700,10.4000,10.2700,10.3400,6021905,62273771.9600,3,1.937100,1,1.671600,5.750686,1.101899,0.754602,3.414368,0
2020-10-12,sh.600051,10.5000,10.6100,10.3800,10.5900,9365437,98612193.5400,3,3.012600,1,2.417800,5.889726,1.128541,0.772847,3.496920,0
2020-10-13,sh.600051,10.5800,10.5800,10.3500,10.4300,5052364,52576120.2400,3,1.625200,1,-1.510900,5.800740,1.111490,0.761171,3.444087,0
2020-10-14,sh.600051,10.4000,10.4000,10.2900,10.3500,3228300,33334900.0000,3,1.038400,1,-0.767000,5.756248,1.102965,0.755332,3.417670,0
2020-10-15,sh.600051,10.3900,10.3900,10.2200,10.2200,2819400,28969005.0000,3,0.906900,1,-1.256000,5.683947,1.089111,0.745845,3.374743,0
2020-10-16,sh.600051,10.2000,10.2500,10.1500,10.2400,2653994,27061622.1000,3,0.853700,1,0.195700,5.695070,1.091242,0.747305,3.381347,0
2020-10-19,sh.600051,10.2100,10.3200,10.1100,10.1200,2637800,26949757.6400,3,0.848500,1,-1.171900,5.628331,1.078454,0.738547,3.341722,0
2020-10-20,sh.600051,10.1200,10.3800,9.9800,10.2600,3803838,38642322.2500,3,1.223600,1,1.383400,5.706193,1.093374,0.748764,3.387951,0
2020-10-21,sh.600051,10.2900,10.3200,10.0600,10.1100,2442300,24726909.0000,3,0.785600,1,-1.462000,5.622769,1.077389,0.737817,3.338420,0
2020-10-22,sh.600051,10.0900,10.1200,10.0100,10.0600,1824000,18336894.9900,3,0.586700,1,-0.494600,5.594961,1.072060,0.734168,3.321909,0
2020-10-23,sh.600051,10.0700,10.1400,10.0000,10.0100,2176523,21866178.0000,3,0.700100,1,-0.497000,5.567153,1.066732,0.730519,3.305399,0
2020-10-26,sh.600051,10.0500,10.0900,9.9800,10.0300,1582600,15881139.3200,3,0.509100,1,0.199800,5.578277,1.068863,0.731979,3.312003,0
2020-10-27,sh.600051,10.0600,10.1800,10.0300,10.0900,3300942,33348032.9400,3,1.061800,1,0.598200,5.153242,1.063695,0.662556,18.289762,0
2020-10-28,sh.600051,10.0600,10.1000,9.8400,9.9800,3018800,29999869.0000,3,0.971000,1,-1.090200,5.097062,1.052099,0.655333,18.090370,0
2020-10-29,sh.600051,9.8500,9.8900,9.7300,9.7800,4097300,40128742.5800,3,1.318000,1,-2.004000,4.994917,1.031015,0.642200,17.727837,0
2020-10-30,sh.600051,9.7500,9.8400,9.3500,9.3700,5613501,53647448.8900,3,1.805700,1,-4.192200,4.785519,0.987792,0.615277,16.984646,0
