date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.600052,3.0700,3.1900,3.0700,3.1500,5089827,16002718.8900,3,0.602900,1,2.941200,-91.657338,0.786396,42.054796,176.483753,0
2020-10-12,sh.600052,3.1500,3.2800,3.1500,3.2600,7222181,23314955.8500,3,0.855500,1,3.492100,-94.858070,0.813857,43.523377,182.646677,0
2020-10-13,sh.600052,3.2500,3.2900,3.2100,3.2300,4282500,13859789.0000,3,0.507300,1,-0.920200,-93.985143,0.806368,43.122855,180.965880,0
2020-10-14,sh.600052,3.2400,3.2400,3.1300,3.1500,4715600,14959445.0000,3,0.558600,1,-2.476800,-91.657338,0.786396,42.054796,176.483753,0
2020-10-15,sh.600052,3.1500,3.1500,3.1100,3.1300,3049600,9556831.0000,3,0.361200,1,-0.634900,-91.075386,0.781403,41.787782,175.363221,0
2020-10-16,sh.600052,3.1300,3.1700,3.1100,3.1600,2756200,8675666.9900,3,0.326500,1,0.958500,-91.948313,0.788892,42.188304,177.044018,0
2020-10-19,sh.600052,3.1500,3.1900,3.1200,3.1400,3479300,10991161.0000,3,0.412100,1,-0.632900,-91.366362,0.783899,41.921289,175.923487,0
2020-10-20,sh.600052,3.1300,3.1700,3.0900,3.1600,3235964,10104337.3600,3,0.383300,1,0.636900,-91.948313,0.788892,42.188304,177.044018,0
2020-10-21,sh.600052,3.1400,3.1600,3.0900,3.1100,2648004,8235951.3600,3,0.313700,1,-1.582300,-90.493435,0.776410,41.520767,174.242689,0
2020-10-22,sh.600052,3.1200,3.1400,3.0800,3.1100,2724799,8471477.9000,3,0.322800,1,0.000000,-90.493435,0.776410,41.520767,174.242689,0
2020-10-23,sh.600052,3.0900,3.1200,3.0700,3.0800,2483788,7677985.1600,3,0.294200,1,-0.964600,-89.620508,0.768920,41.120245,172.561891,0
2020-10-26,sh.600052,3.0900,3.1000,3.0500,3.0600,1988671,6114366.2600,3,0.235600,1,-0.649400,-89.038556,0.763927,40.853231,171.441360,0
2020-10-27,sh.600052,3.0500,3.2200,3.0500,3.1400,5614431,17701281.3400,3,0.665100,1,2.614400,78.193437,0.771008,13.432434,64.695163,0
2020-10-28,sh.600052,3.1200,3.1400,3.0600,3.1100,3761900,11626149.0000,3,0.445600,1,-0.955400,77.446366,0.763641,13.304098,64.077057,0
2020-10-29,sh.600052,3.0800,3.1300,3.0500,3.1200,3339900,10346472.0000,3,0.395600,1,0.321500,77.695390,0.766097,13.346877,64.283092,0
2020-10-30,sh.600052,3.1100,3.1400,3.0600,3.0700,4406376,13658456.7200,3,0.522000,1,-1.602600,76.450271,0.753819,13.132985,63.252915,0
