date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.600055,13.8400,14.0300,13.8000,13.9900,4185992,58386824.8400,3,0.774000,1,2.566000,32.933040,3.490818,6.833054,41.827335,0
2020-10-12,sh.600055,14.0300,14.3100,14.0200,14.2600,4824007,68461680.8400,3,0.892000,1,1.929900,33.568631,3.558189,6.964928,42.634582,0
2020-10-13,sh.600055,14.2700,14.4400,14.1100,14.3300,6130112,87732221.8800,3,1.133500,1,0.490900,33.733414,3.575656,6.999118,42.843868,0
2020-10-14,sh.600055,14.3400,14.4600,14.1800,14.2300,4758113,68148744.1200,3,0.879800,1,-0.697800,33.498010,3.550703,6.950276,42.544888,0
2020-10-15,sh.600055,14.3400,14.3400,14.0200,14.1300,3443746,48663754.0100,3,0.636800,1,-0.702700,33.262606,3.525751,6.901433,42.245907,0
2020-10-16,sh.600055,14.0100,14.2300,13.9800,14.1700,3418460,48269749.6800,3,0.632100,1,0.283100,33.356767,3.535732,6.920970,42.365500,0
2020-10-19,sh.600055,14.2000,14.2800,13.8900,13.9000,3699244,51987612.8800,3,0.684000,1,-1.905400,32.721176,3.468361,6.789096,41.558253,0
2020-10-20,sh.600055,13.8300,13.9800,13.7600,13.9400,2920035,40494885.1200,3,0.539900,1,0.287800,32.815338,3.478342,6.808633,41.677845,0
2020-10-21,sh.600055,14.0300,14.3000,13.9400,14.1300,5331087,75326051.9100,3,0.985700,1,1.363000,33.262606,3.525751,6.901433,42.245907,0
2020-10-22,sh.600055,14.1500,14.1600,13.5400,13.6000,6269916,85544158.4200,3,1.159300,1,-3.750900,32.014964,3.393504,6.642568,40.661312,0
2020-10-23,sh.600055,13.5900,13.6300,13.1000,13.2100,4766198,63770151.7600,3,0.881300,1,-2.867600,31.096888,3.296191,6.452083,39.495289,0
2020-10-26,sh.600055,13.0100,13.2800,12.8900,13.1800,4220585,55199618.7000,3,0.780400,1,-0.227100,31.026266,3.288705,6.437430,39.405595,0
2020-10-27,sh.600055,13.1700,13.3000,13.0800,13.2100,2216175,29266294.3900,3,0.409800,1,0.227600,31.096888,3.296191,6.452083,39.495289,0
2020-10-28,sh.600055,13.2200,13.4100,12.9800,13.1700,3459172,45441976.8000,3,0.639600,1,-0.302800,31.002726,3.286210,6.432546,39.375697,0
2020-10-29,sh.600055,13.0100,13.4000,13.0100,13.3700,3750257,49827365.0100,3,0.693400,1,1.518600,31.473534,3.336114,6.530231,39.973658,0
2020-10-30,sh.600055,13.2000,13.2000,12.0300,12.1500,14793628,185234698.0800,3,2.735400,1,-9.124900,29.097029,2.972928,6.074874,76.110940,0
