date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.600062,12.7400,12.9100,12.7400,12.8800,4304599,55344522.4400,3,0.412600,1,1.818200,13.839248,1.520093,1.551150,193.660842,0
2020-10-12,sh.600062,12.8900,13.1300,12.8900,13.1100,5062718,66025456.6400,3,0.485300,1,1.785700,14.086377,1.547238,1.578849,197.119072,0
2020-10-13,sh.600062,13.1000,13.1600,13.0400,13.0900,3830398,50102484.1000,3,0.367200,1,-0.152600,14.064888,1.544877,1.576440,196.818356,0
2020-10-14,sh.600062,13.0800,13.1500,12.9600,12.9800,4548885,59318675.0300,3,0.436000,1,-0.840300,13.946695,1.531895,1.563193,195.164420,0
2020-10-15,sh.600062,13.0100,13.0400,12.9000,12.9400,2976590,38555601.0700,3,0.285300,1,-0.308200,13.903716,1.527175,1.558375,194.562989,0
2020-10-16,sh.600062,12.9400,13.0400,12.9000,13.0200,7845737,101885537.2700,3,0.752100,1,0.618200,13.989674,1.536616,1.568010,195.765852,0
2020-10-19,sh.600062,13.0600,13.1100,12.9200,12.9400,6015532,78357123.1500,3,0.576600,1,-0.614400,13.903716,1.527175,1.558375,194.562989,0
2020-10-20,sh.600062,12.9000,12.9000,12.7100,12.8600,4809137,61677895.8600,3,0.461000,1,-0.618200,13.817758,1.517733,1.548741,193.360127,0
2020-10-21,sh.600062,12.8700,12.9000,12.6800,12.7800,6266090,79886397.3300,3,0.600600,1,-0.622100,13.731800,1.508291,1.539106,192.157264,0
2020-10-22,sh.600062,12.7100,12.7500,12.6000,12.7000,4272429,54103434.0500,3,0.409500,1,-0.626000,13.645842,1.498850,1.529472,190.954402,0
2020-10-23,sh.600062,12.7100,12.8100,12.6700,12.6900,3474973,44284033.4100,3,0.333100,1,-0.078700,13.635097,1.497670,1.528268,190.804044,0
2020-10-26,sh.600062,12.6600,12.7200,12.6000,12.6200,2886400,36524562.0800,3,0.276700,1,-0.551600,13.559884,1.489408,1.519837,189.751540,0
2020-10-27,sh.600062,12.5900,12.6900,12.5800,12.6400,2544022,32149526.8500,3,0.243900,1,0.158500,13.581374,1.491769,1.522246,190.052255,0
2020-10-28,sh.600062,12.6200,12.6600,12.5000,12.6000,3073484,38620946.5200,3,0.294600,1,-0.316500,13.538395,1.487048,1.517429,189.450824,0
2020-10-29,sh.600062,12.5000,12.7900,12.4700,12.7300,3856336,48876631.8000,3,0.369700,1,1.031700,13.678076,1.502390,1.533085,191.405475,0
2020-10-30,sh.600062,12.7800,12.8500,12.5500,12.6000,4547091,57867695.0600,3,0.435900,1,-1.021200,13.016432,1.435212,1.574612,-35.899591,0
