date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.600063,3.6000,3.6800,3.6000,3.6600,11873382,43338251.5700,3,0.616500,1,2.809000,16.765504,1.368101,1.183213,73.593317,0
2020-10-12,sh.600063,3.6900,3.7600,3.6700,3.7500,17726312,66083916.7200,3,0.920400,1,2.459000,17.177770,1.401743,1.212308,75.402989,0
2020-10-13,sh.600063,3.7500,3.7600,3.7100,3.7300,12525064,46696447.0800,3,0.650400,1,-0.533300,17.086156,1.394267,1.205842,75.000840,0
2020-10-14,sh.600063,3.7300,3.7300,3.6600,3.6800,14215500,52347616.1500,3,0.738100,1,-1.340500,16.857119,1.375577,1.189678,73.995466,0
2020-10-15,sh.600063,3.6800,3.7200,3.6200,3.6700,15138443,55585503.0500,3,0.786000,1,-0.271700,16.811311,1.371839,1.186446,73.794392,0
2020-10-16,sh.600063,3.6800,3.7100,3.6500,3.6700,10293899,37797990.4900,3,0.534500,1,0.000000,16.811311,1.371839,1.186446,73.794392,0
2020-10-19,sh.600063,3.6800,3.7100,3.6400,3.6700,13846200,50917873.6800,3,0.718900,1,0.000000,16.811311,1.371839,1.186446,73.794392,0
2020-10-20,sh.600063,3.6600,3.6900,3.6400,3.6900,8497276,31129646.6800,3,0.441200,1,0.545000,16.902926,1.379315,1.192911,74.196541,0
2020-10-21,sh.600063,3.6800,3.6900,3.6200,3.6400,8601924,31385734.5600,3,0.446600,1,-1.355000,16.673889,1.360625,1.176747,73.191168,0
2020-10-22,sh.600063,3.6300,3.6400,3.5900,3.6100,8383679,30253327.4000,3,0.435300,1,-0.824200,16.536467,1.349411,1.167049,72.587944,0
2020-10-23,sh.600063,3.6100,3.6300,3.5600,3.5700,8764915,31511345.5500,3,0.455100,1,-1.108000,16.353237,1.334460,1.154117,71.783645,0
2020-10-26,sh.600063,3.5700,3.5800,3.5100,3.5300,10581827,37455970.4500,3,0.549400,1,-1.120400,16.170008,1.319508,1.141186,70.979347,0
2020-10-27,sh.600063,3.5000,3.5700,3.5000,3.5700,7494361,26494271.5500,3,0.389100,1,1.133100,16.353237,1.334460,1.154117,71.783645,0
2020-10-28,sh.600063,3.5400,3.6200,3.5200,3.6100,12813224,45655472.9800,3,0.665300,1,1.120400,15.532541,1.245862,1.135767,-23.355182,0
2020-10-29,sh.600063,3.5600,3.5900,3.5500,3.5600,9462920,33746505.2000,3,0.491400,1,-1.385000,15.317409,1.228606,1.120036,-23.031703,0
2020-10-30,sh.600063,3.5600,3.5700,3.4600,3.4600,12778283,44935697.6700,3,0.663500,1,-2.809000,14.887145,1.194095,1.088575,-22.384745,0
