date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.600072,13.4100,13.4400,13.2400,13.4200,11745209,156910984.7100,3,1.595300,1,1.359500,139.041268,2.614974,3.613759,-10.957265,0
2020-10-12,sh.600072,13.4200,13.8600,13.3100,13.7900,17717314,241642133.9100,3,2.406400,1,2.757100,142.874746,2.687071,3.713393,-11.259365,0
2020-10-13,sh.600072,13.7000,13.7100,13.4500,13.6700,12104519,164382781.4400,3,1.644100,1,-0.870200,141.631456,2.663688,3.681079,-11.161387,0
2020-10-14,sh.600072,13.7000,13.9400,13.3800,13.3900,13926435,189772873.8800,3,1.891500,1,-2.048300,138.730446,2.609128,3.605680,-10.932770,0
2020-10-15,sh.600072,13.3200,13.3600,13.1100,13.1500,9586760,126758914.6600,3,1.302100,1,-1.792400,136.243866,2.562363,3.541053,-10.736813,0
2020-10-16,sh.600072,13.1300,13.2800,12.9600,13.0800,7135394,93355561.4100,3,0.969200,1,-0.532300,135.518613,2.548723,3.522203,-10.679659,0
2020-10-19,sh.600072,13.1300,13.2500,13.0600,13.0900,5996863,78800083.2500,3,0.814500,1,0.076500,135.622221,2.550671,3.524896,-10.687824,0
2020-10-20,sh.600072,13.0600,13.1900,12.8500,13.1800,6492760,84266175.2500,3,0.881900,1,0.687500,136.554688,2.568208,3.549131,-10.761308,0
2020-10-21,sh.600072,13.1300,13.1500,12.8800,12.8900,5871030,76100723.4800,3,0.797400,1,-2.200300,103.727736,2.505205,3.856741,-19.063996,0
2020-10-22,sh.600072,12.8200,12.9100,12.6800,12.7500,5829126,74307817.5200,3,0.791700,1,-1.086100,102.601135,2.477995,3.814853,-18.856940,0
2020-10-23,sh.600072,12.7600,13.0400,12.7600,12.8100,6901703,88912192.7800,3,0.937400,1,0.470600,103.083964,2.489656,3.832805,-18.945678,0
2020-10-26,sh.600072,12.7300,12.7600,12.5600,12.6000,5752981,72709479.6600,3,0.781400,1,-1.639300,101.394063,2.448842,3.769972,-18.635093,0
2020-10-27,sh.600072,12.5000,12.8400,12.4600,12.6700,6047920,76799599.7000,3,0.821400,1,0.555600,101.957363,2.462447,3.790916,-18.738621,0
2020-10-28,sh.600072,12.6200,12.6400,12.4500,12.5100,6027901,75413093.7000,3,0.818700,1,-1.262800,100.669820,2.431351,3.743044,-18.501985,0
2020-10-29,sh.600072,12.3700,12.3900,12.0200,12.1500,10018095,121841355.5000,3,1.360700,1,-2.877700,97.772846,2.361384,3.635330,-17.969554,0
2020-10-30,sh.600072,12.2100,12.3200,11.6500,11.6600,11127299,133039018.5000,3,1.511300,1,-4.032900,93.829744,2.266151,3.488720,-17.244856,0
