date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-10-09,sh.600078,4.3500,4.7200,4.3500,4.5800,8679426,39237728.7900,3,1.310000,1,6.018500,78.798890,1.741101,0.934105,3.285384,0
2020-10-12,sh.600078,4.5500,4.6400,4.5400,4.6300,9898427,45457974.6900,3,1.493900,1,1.091700,79.659140,1.760109,0.944303,3.321250,0
2020-10-13,sh.600078,4.6000,4.6100,4.5500,4.5700,5746399,26303920.4300,3,0.867300,1,-1.295900,78.626840,1.737299,0.932065,3.278210,0
2020-10-14,sh.600078,4.5700,4.5700,4.4900,4.5000,4310230,19486479.7000,3,0.650500,1,-1.531700,77.422490,1.710689,0.917789,3.227997,0
2020-10-15,sh.600078,4.5000,4.5200,4.4400,4.4800,4317899,19363305.5200,3,0.651700,1,-0.444400,77.078390,1.703086,0.913710,3.213650,0
2020-10-16,sh.600078,4.5000,4.5400,4.4800,4.5400,4923400,22206177.0000,3,0.743100,1,1.339300,78.110690,1.725895,0.925947,3.256690,0
2020-10-19,sh.600078,4.5500,4.6000,4.5100,4.5300,5119036,23318298.1300,3,0.772600,1,-0.220300,77.938640,1.722093,0.923907,3.249517,0
2020-10-20,sh.600078,4.5000,4.5700,4.4600,4.5600,3584000,16220214.0000,3,0.540900,1,0.662300,78.454790,1.733498,0.930026,3.271037,0
2020-10-21,sh.600078,4.5700,4.5700,4.4900,4.5200,3278400,14796265.0000,3,0.494800,1,-0.877200,77.766590,1.718292,0.921868,3.242344,0
2020-10-22,sh.600078,4.5000,4.5200,4.4200,4.4800,3674705,16413065.1700,3,0.554600,1,-0.885000,77.078390,1.703086,0.913710,3.213650,0
2020-10-23,sh.600078,4.4800,4.5300,4.4200,4.4300,3322300,14825628.9000,3,0.501400,1,-1.116100,76.218140,1.684078,0.903512,3.177784,0
2020-10-26,sh.600078,4.4300,4.4400,4.3800,4.4100,2337100,10294449.0000,3,0.352700,1,-0.451500,75.874040,1.676475,0.899433,3.163437,0
2020-10-27,sh.600078,4.3200,4.4300,4.3000,4.3500,4441400,19276695.0000,3,0.670300,1,-1.360500,74.841740,1.653666,0.887196,3.120397,0
2020-10-28,sh.600078,4.3300,4.3800,4.2900,4.3600,3107104,13480007.2000,3,0.468900,1,0.229900,75.013790,1.657467,0.889235,3.127570,0
2020-10-29,sh.600078,4.3300,4.4300,4.2900,4.3600,3685200,16099947.0000,3,0.556200,1,0.000000,75.013790,1.657467,0.889235,3.127570,0
2020-10-30,sh.600078,4.3600,4.3700,4.2100,4.2300,3802900,16304877.0000,3,0.574000,1,-2.981700,72.777141,1.608047,0.862721,3.034317,0
