date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000025,1508.9589,1509.7132,1499.6013,1504.4864,876542400,7593809180.0000,3,0.381626,1,-1.556598,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000025,1487.9108,1498.9103,1481.3714,1484.8055,913717800,8052389177.0000,3,0.397811,1,-1.308147,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000025,1468.5553,1471.2424,1451.8527,1455.9357,1074182100,17803904713.0000,3,0.467674,1,-1.944349,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000025,1447.2973,1447.6035,1424.3635,1434.6801,1144751200,11604528125.0000,3,0.498398,1,-1.459927,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000025,1435.1872,1447.9830,1434.0446,1437.8562,722227100,7388677530.0000,3,0.314441,1,0.221380,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000025,1438.3334,1444.7719,1432.7971,1435.4928,688000300,7935503248.0000,3,0.254043,1,-0.164370,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000025,1437.7525,1453.8587,1432.9475,1452.4923,776805600,7727011523.0000,3,0.338203,1,1.184227,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000025,1451.4332,1460.0024,1446.5225,1456.8240,707429700,7488164327.0000,3,0.307998,1,0.298225,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000025,1482.0935,1489.1412,1471.2830,1483.5748,1177932800,11693596743.0000,3,0.434950,1,1.836241,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000025,1481.8494,1527.9400,1479.9356,1527.7579,1682062100,12343654891.0000,3,0.731987,1,2.978151,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000025,1535.0142,1562.5424,1525.8179,1540.9739,2401384600,16841151217.0000,3,0.886355,1,0.865059,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000025,1541.8521,1552.0554,1523.0568,1525.9174,1787824600,11993258966.0000,3,0.778012,1,-0.977077,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000025,1527.9386,1537.4441,1506.8478,1519.1248,1518457900,10522924684.0000,3,0.660791,1,-0.445149,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000025,1532.8028,1565.3008,1529.1515,1554.0238,2010954900,14034289158.0000,3,0.875112,1,2.297310,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000025,1529.7573,1543.0146,1521.8030,1524.2961,1425872100,10228318460.0000,3,0.620500,1,-1.912950,0.000000,0.000000,0.000000,0.000000,0
