date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000029,4073.8949,4134.7480,4051.3209,4127.6276,4425986200,50534175451.0000,3,0.253518,1,1.147845,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000029,4129.6258,4143.8658,4103.3291,4120.3718,4125138400,53031801047.0000,3,0.236286,1,-0.175786,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000029,4119.3384,4155.1794,4079.5920,4127.7127,4171342400,54508166389.0000,3,0.238932,1,0.178161,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000029,4120.5531,4176.3281,4106.6473,4131.8787,4649451900,58305684737.0000,3,0.266318,1,0.100928,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000029,4142.0795,4201.8378,4133.0904,4183.4837,6306133300,64215188145.0000,3,0.361212,1,1.248948,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000029,4188.0666,4220.8573,4152.5127,4209.8797,4797426300,53852302184.0000,3,0.271341,1,0.630957,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000029,4212.7416,4230.7834,4173.9354,4227.9078,4509059000,52433341271.0000,3,0.257921,1,0.428233,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000029,4242.8647,4280.1654,4214.7070,4248.1704,5417192800,59808844813.0000,3,0.309865,1,0.479258,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000029,4325.4445,4379.8811,4314.7671,4337.5111,6893974000,76496619918.0000,3,0.389920,1,2.103039,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000029,4324.5111,4387.6686,4312.8275,4372.0150,6178269000,72299576868.0000,3,0.353377,1,0.795477,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000029,4379.9701,4407.5063,4349.3377,4356.1319,8830928200,89974608654.0000,3,0.505101,1,-0.363290,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000029,4341.4221,4416.7431,4341.4221,4366.1902,7343476800,77852577351.0000,3,0.420023,1,0.230900,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000029,4365.6082,4377.4235,4258.7585,4291.7944,6415348400,71624718669.0000,3,0.366937,1,-1.703907,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000029,4333.8737,4421.7981,4318.7253,4393.0447,7688060900,88882034438.0000,3,0.439732,1,2.359160,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000029,4324.8319,4362.4408,4259.7705,4264.6757,6829861700,78029974649.0000,3,0.390646,1,-2.922096,0.000000,0.000000,0.000000,0.000000,0
