date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000039,4657.1732,4696.9561,4645.5906,4691.5514,586416300,23932207277.0000,3,1.316338,1,0.739923,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000039,4711.7133,4736.0188,4679.9352,4732.9392,523858900,23483223571.0000,3,1.175914,1,0.882177,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000039,4729.4860,4730.3515,4599.9588,4601.5826,632086200,25637399738.0000,3,1.418854,1,-2.775371,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000039,4570.6463,4572.2696,4392.7662,4537.4726,803769400,33623133669.0000,3,1.804234,1,-1.393216,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000039,4535.8832,4550.9189,4448.6273,4449.1121,620946500,23939890810.0000,3,1.393848,1,-1.947351,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000039,4478.1016,4585.5320,4460.2907,4538.3529,497080800,20274367306.0000,3,1.156726,1,2.005811,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000039,4558.8389,4640.4618,4542.1952,4629.0090,507655700,20901986827.0000,3,1.135820,1,1.997555,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000039,4636.1625,4686.8793,4608.7242,4671.4981,525045500,20913330417.0000,3,1.174728,1,0.917888,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000039,4762.7320,4817.0395,4717.0983,4736.2337,692946000,28480734734.0000,3,1.612512,1,1.385757,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000039,4718.4088,4781.0901,4666.2195,4762.4831,720358600,27943647684.0000,3,1.610271,1,0.554225,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000039,4769.1346,4794.0306,4642.3424,4642.7494,782306000,28601354603.0000,3,1.748746,1,-2.514102,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000039,4588.0336,4661.7246,4570.7751,4611.6217,571477500,21370897639.0000,3,1.277466,1,-0.670458,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000039,4617.5143,4713.4569,4576.8527,4627.8766,681159700,27882149259.0000,3,1.522646,1,0.352477,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000039,4648.5574,4657.3872,4560.5827,4562.0704,569982700,22439322977.0000,3,1.274030,1,-1.421952,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000039,4468.6116,4549.5622,4461.3289,4501.6680,599029800,23811514921.0000,3,1.338956,1,-1.324013,0.000000,0.000000,0.000000,0.000000,0
