date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000041,1808.8113,1812.1513,1791.8559,1800.0453,1140036400,7542247179.0000,3,0.694599,1,-0.398826,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000041,1798.6462,1801.8841,1782.8713,1788.9955,978127500,6847556296.0000,3,0.595951,1,-0.613862,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000041,1786.2645,1786.9222,1763.6464,1765.7096,975421100,6333232660.0000,3,0.594302,1,-1.301619,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000041,1758.9496,1759.2908,1729.7670,1739.1496,901599400,5892501881.0000,3,0.549324,1,-1.504211,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000041,1738.2413,1747.9940,1723.6701,1724.8737,797888800,4611913117.0000,3,0.486136,1,-0.820855,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000041,1725.3209,1739.7522,1724.9685,1728.8362,640627400,4227178042.0000,3,0.362715,1,0.229727,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000041,1732.5882,1740.0426,1720.3370,1738.9047,591837800,3963535259.0000,3,0.360594,1,0.582386,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000041,1741.2706,1753.5113,1736.4895,1750.5960,539761900,3781011558.0000,3,0.328865,1,0.672337,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000041,1770.3786,1777.7525,1766.7467,1774.4242,758104900,4912475235.0000,3,0.429229,1,1.361148,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000041,1774.7274,1809.5735,1768.2695,1808.3581,796510800,5393672785.0000,3,0.485296,1,1.912389,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000041,1811.1697,1846.3958,1810.2117,1821.7601,1124813400,6992368702.0000,3,0.636854,1,0.741114,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000041,1826.6599,1843.0110,1816.6197,1821.4976,974432500,6120133861.0000,3,0.593700,1,-0.014409,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000041,1820.8898,1825.0299,1795.0900,1806.7658,797624400,5128926948.0000,3,0.485975,1,-0.808774,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000041,1813.2360,1817.2457,1803.7452,1810.5691,726827300,4577314979.0000,3,0.442840,1,0.210503,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000041,1793.8082,1802.2820,1787.0152,1790.2933,747464900,4690202251.0000,3,0.455414,1,-1.119858,0.000000,0.000000,0.000000,0.000000,0
