date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000042,1671.6188,1684.0780,1661.2629,1681.3921,3449859400,42610570318.0000,3,0.217595,1,0.825237,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000042,1683.9193,1693.7765,1680.8212,1691.0917,3135037300,43391179035.0000,3,0.197738,1,0.576879,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000042,1691.5305,1707.1650,1684.3635,1689.9533,3076558500,40094534841.0000,3,0.194050,1,-0.067317,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000042,1682.2294,1696.1103,1664.0883,1675.1310,3593937300,45853154501.0000,3,0.226683,1,-0.877083,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000042,1681.4898,1711.8314,1678.5662,1699.7917,4802931100,48513376465.0000,3,0.302939,1,1.472165,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000042,1704.0105,1717.7278,1697.0021,1715.1732,3896336000,43005955687.0000,3,0.244149,1,0.904905,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000042,1718.1716,1734.1090,1704.7380,1733.6280,3598624200,42779065877.0000,3,0.226949,1,1.075973,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000042,1739.8956,1754.7500,1734.1805,1750.0871,4336365800,47122522388.0000,3,0.273475,1,0.949402,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000042,1783.0035,1789.7607,1764.0990,1770.1244,5566850700,60741301840.0000,3,0.348780,1,1.144932,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000042,1765.5767,1783.3896,1762.5640,1782.9587,4806826500,52805944080.0000,3,0.303124,1,0.725051,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000042,1791.2501,1793.9400,1759.5059,1760.2435,6976994900,71996444079.0000,3,0.439978,1,-1.274017,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000042,1752.3443,1784.8682,1752.3443,1765.4877,5667595500,59115105540.0000,3,0.357405,1,0.297925,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000042,1771.1444,1772.2390,1714.4805,1732.6036,4862438600,54769231591.0000,3,0.306631,1,-1.862607,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000042,1750.4245,1779.5796,1744.6079,1767.9316,6017527200,66252136145.0000,3,0.379472,1,2.039012,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000042,1735.2486,1751.1688,1711.8419,1715.1334,5161795100,58655890693.0000,3,0.325509,1,-2.986439,0.000000,0.000000,0.000000,0.000000,0
