date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000043,2910.8646,2939.3661,2902.7500,2938.7190,1472974500,50833241930.0000,3,0.258611,1,0.816852,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000043,2946.5510,2958.5223,2928.5128,2956.8992,1506709600,57319148168.0000,3,0.264533,1,0.618644,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000043,2957.5502,2982.4968,2942.7320,2959.8617,1644003100,60282144209.0000,3,0.288637,1,0.100189,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000043,2946.5208,2969.6548,2927.1921,2963.9241,1682399100,68906679614.0000,3,0.295379,1,0.137250,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000043,2976.0289,3011.4712,2969.2880,2975.1990,1748197400,59657502669.0000,3,0.306931,1,0.380404,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000043,2988.8257,3052.5650,2988.8257,3048.3269,1563006300,58438360719.0000,3,0.152731,1,2.457916,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000043,3055.0130,3094.6793,3033.2310,3093.8462,1636131300,58034603585.0000,3,0.287255,1,1.493255,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000043,3097.9601,3165.1002,3097.1392,3157.0359,2086960300,67367949626.0000,3,0.366407,1,2.042432,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000043,3225.8640,3236.2381,3153.2856,3165.5287,2622837500,84216050160.0000,3,0.256292,1,0.269012,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000043,3154.7788,3176.4826,3112.5265,3172.7779,2325991100,76950096043.0000,3,0.408293,1,0.229004,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000043,3185.7188,3185.7188,3101.9898,3104.3254,3167828200,89884668362.0000,3,0.309514,1,-2.157494,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000043,3088.5874,3126.9813,3070.8349,3086.6355,2257903100,67606007727.0000,3,0.396341,1,-0.569847,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000043,3095.6404,3105.9940,3002.3207,3027.9291,1913104100,74374729872.0000,3,0.335817,1,-1.901954,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000043,3063.4749,3089.4063,3040.8072,3066.2552,2394974800,73794120543.0000,3,0.420402,1,1.265753,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000043,2999.8314,3039.5406,2984.4928,2989.4995,2136827100,70476495632.0000,3,0.375088,1,-2.503239,0.000000,0.000000,0.000000,0.000000,0
