date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000049,3050.2940,3097.0171,3048.6625,3094.2710,2140804300,70978589155.0000,3,1.552968,1,0.555127,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000049,3119.4723,3173.5348,3089.5597,3166.4437,2371778700,75321887513.0000,3,1.720490,1,2.332462,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000049,3167.1728,3197.7108,3141.7082,3146.5225,2813185400,79985419160.0000,3,2.040686,1,-0.629135,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000049,3114.5635,3129.6428,3051.8929,3106.8778,2585998700,78785256359.0000,3,1.875885,1,-1.259953,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000049,3124.7408,3156.1072,3080.4868,3082.0036,2416930200,78805039598.0000,3,1.753242,1,-0.800617,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000049,3093.7931,3153.1951,3067.6156,3138.1846,2276267600,74425610492.0000,3,1.559719,1,1.822873,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000049,3163.1262,3266.0979,3158.1296,3259.9956,2445236000,80045886369.0000,3,1.743143,1,3.881575,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000049,3275.0975,3333.6730,3232.1571,3316.5605,2349298100,79633969494.0000,3,1.674693,1,1.735122,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000049,3397.8069,3398.9860,3269.4108,3284.4387,3046330300,94580998341.0000,3,2.053359,1,-0.968527,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000049,3259.8244,3274.4335,3161.7130,3244.4942,2833189900,85469702717.0000,3,2.019537,1,-1.216174,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000049,3250.1527,3260.2785,3140.4526,3140.4526,3361736100,95198007744.0000,3,2.265651,1,-3.206712,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000049,3092.7916,3168.2355,3087.8111,3122.8635,2747389800,74535775192.0000,3,1.957902,1,-0.560082,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000049,3122.9109,3136.4318,2997.5137,3027.2478,3095789700,89970653130.0000,3,2.206186,1,-3.061796,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000049,3060.7075,3067.3053,3004.9298,3018.5366,2568135900,69834341018.0000,3,1.830158,1,-0.287760,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000049,2928.2422,2999.2247,2913.5137,2958.4478,2620959600,72688469390.0000,3,1.867803,1,-1.990660,0.000000,0.000000,0.000000,0.000000,0
