date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000051,9917.5936,9996.5227,9877.4055,9991.8740,9406009600,181367210498.0000,3,0.409307,1,0.597891,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000051,10009.2391,10103.4184,9971.5439,10098.6930,9278483600,194167911441.0000,3,0.421784,1,1.069059,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000051,10083.1461,10120.0913,9998.6545,10002.6156,11106955000,212304660698.0000,3,0.504903,1,-0.951385,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000051,9948.0673,9990.8643,9770.6900,9877.1796,10526775000,212099651317.0000,3,0.478528,1,-1.254032,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000051,9895.5400,9956.8720,9816.2858,9823.8048,11310589400,202965618722.0000,3,0.514068,1,-0.540385,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000051,9845.4702,9980.8752,9806.0514,9947.6774,9698560400,190218558025.0000,3,0.421918,1,1.260943,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000051,9975.1582,10181.2477,9946.9681,10176.9213,9678677900,198225223180.0000,3,0.439373,1,2.304497,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000051,10188.3551,10317.3813,10164.8034,10286.1088,10489095400,214013309975.0000,3,0.476161,1,1.072893,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000051,10500.2608,10521.2450,10349.1761,10378.2458,13371219700,258848169963.0000,3,0.581027,1,0.895742,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000051,10332.7375,10463.5434,10255.4392,10457.0100,13504609800,251480056964.0000,3,0.613021,1,0.758936,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000051,10497.5508,10549.9447,10326.6201,10326.6201,18574853800,303721947244.0000,3,0.807105,1,-1.246914,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000051,10242.2257,10380.6386,10216.9070,10255.6415,15655247300,240203164806.0000,3,0.710635,1,-0.687336,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000051,10263.1194,10297.5920,9973.9412,10067.5534,14638499300,256997189575.0000,3,0.664482,1,-1.833996,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000051,10167.5205,10204.9154,10084.9544,10123.5843,15741640200,238821351662.0000,3,0.714497,1,0.556549,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000051,9904.2882,10022.7395,9870.1435,9895.9157,14329349400,229868257048.0000,3,0.650395,1,-2.248893,0.000000,0.000000,0.000000,0.000000,0
