date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000057,5973.5795,6033.8417,5955.9121,6012.1429,3374005500,115427216898.0000,3,0.865931,1,0.483605,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000057,6038.0740,6109.0117,5992.9606,6102.3404,3585957100,127419032636.0000,3,0.915693,1,1.500255,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000057,6101.0873,6118.4049,6055.3666,6072.2146,3888032700,133952539845.0000,3,0.992681,1,-0.493676,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000057,6054.3598,6128.9098,6023.0024,6107.0249,3920200100,141185525294.0000,3,1.000894,1,0.573272,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000057,6130.7961,6197.7743,6095.8988,6106.8632,3706887300,130323348922.0000,3,0.946431,1,-0.002648,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000057,6132.1497,6216.0866,6102.8076,6199.7131,3478460900,124846782991.0000,3,0.812904,1,1.520419,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000057,6223.8724,6364.7601,6196.1124,6364.7475,3634441600,132104281370.0000,3,0.922064,1,2.661968,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000057,6384.6325,6521.2447,6379.0915,6504.2765,3576904000,141200132663.0000,3,0.907451,1,2.192216,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000057,6614.4288,6635.2174,6407.1967,6433.3071,4631139800,169246621574.0000,3,1.076246,1,-1.091119,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000057,6397.4278,6445.8842,6282.0223,6427.7134,4728995100,158351878721.0000,3,1.199266,1,-0.086949,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000057,6430.3749,6430.3749,6187.9001,6187.9001,5759275900,178216317670.0000,3,1.460469,1,-3.730927,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000057,6119.2974,6256.0897,6119.2974,6181.6346,4530689500,140771143361.0000,3,1.148918,1,-0.101254,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000057,6178.9614,6195.6616,5944.4594,6012.6614,4508805200,158490695270.0000,3,1.143368,1,-2.733471,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000057,6069.0009,6100.2277,5996.0373,6041.4426,4980962700,145605000769.0000,3,1.262516,1,0.478677,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000057,5895.6026,5986.6184,5854.1467,5912.5403,4372124000,138870356164.0000,3,1.108194,1,-2.133634,0.000000,0.000000,0.000000,0.000000,0
