date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000061,155.5388,155.5388,155.4215,155.4938,2167000,1912450.0000,3,0.000071,1,-0.001801,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000061,155.5079,155.7932,155.4564,155.4824,5261000,4665459.0000,3,0.000172,1,-0.007331,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000061,155.4965,155.4986,155.4023,155.4301,11743000,11177931.0000,3,0.000385,1,-0.033637,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000061,155.4442,155.7993,155.4063,155.5089,1671000,1471151.0000,3,0.000055,1,0.050698,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000061,155.5230,155.6030,155.4230,155.4344,669000,5876126.0000,3,0.000219,1,-0.047907,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000061,155.4767,155.5433,155.4767,155.5278,441000,387001.0000,3,0.000014,1,0.060090,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000061,155.5419,155.5791,155.5082,155.5561,301000,283815.0000,3,0.000010,1,0.018196,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000061,155.5701,155.5716,155.5043,155.5395,1947000,1706548.0000,3,0.000064,1,-0.010671,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000061,155.6523,155.7239,155.6327,155.6460,320000,294973.0000,3,0.000010,1,0.068471,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000061,155.6601,155.6783,155.6496,155.6612,2596000,2310449.0000,3,0.000085,1,0.009766,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000061,155.7035,155.7093,155.6501,155.6501,3571000,3212972.0000,3,0.000117,1,-0.007131,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000061,155.6642,156.0554,155.6575,155.6575,961000,851625.0000,3,0.000031,1,0.004754,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000061,155.6715,155.6783,155.6352,155.6678,2681000,2437044.0000,3,0.000088,1,0.006617,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000061,155.6819,155.6839,155.4998,155.6477,7541000,6646448.0000,3,0.000247,1,-0.012912,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000061,155.6618,155.8545,155.6562,155.6659,4524000,4107763.0000,3,0.000148,1,0.011693,0.000000,0.000000,0.000000,0.000000,0
