date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000066,2075.1445,2096.3541,2055.3891,2095.0400,3553723600,42439343489.0000,3,0.757840,1,0.676074,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000066,2105.4891,2121.6520,2078.5992,2117.7547,3271857400,42186025010.0000,3,0.697731,1,1.084213,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000066,2107.6308,2170.9591,2104.4442,2145.8734,4171939200,50062972756.0000,3,0.889676,1,1.327760,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000066,2136.7114,2146.8448,2074.3063,2101.9377,3894634900,45455709476.0000,3,0.830540,1,-2.047451,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000066,2097.7347,2110.9939,2022.2803,2022.9517,3375719200,43214676052.0000,3,0.719584,1,-3.757771,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000066,2031.0682,2085.6329,2014.9595,2078.0599,3057204000,37179720834.0000,3,0.650205,1,2.724148,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000066,2089.4128,2152.7568,2089.4128,2149.0129,3263695900,41134597297.0000,3,0.695401,1,3.414387,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000066,2152.8562,2206.4892,2144.1452,2197.4727,3575678100,47599362269.0000,3,0.761876,1,2.254979,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000066,2306.4956,2330.6461,2291.7644,2330.1481,5737391100,63428703028.0000,3,1.219696,1,6.037636,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000066,2323.3774,2377.1127,2292.2179,2373.7626,6496707400,79932832063.0000,3,1.384265,1,1.871748,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000066,2421.4364,2528.2742,2421.4364,2457.1346,8739316000,101317733249.0000,3,1.862101,1,3.512230,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000066,2430.7613,2473.6284,2417.2411,2431.5988,7029793300,84434643483.0000,3,1.497741,1,-1.039251,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000066,2427.1743,2445.0767,2340.4379,2359.6389,6031738200,77006856511.0000,3,1.285079,1,-2.959366,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000066,2416.6515,2424.2995,2344.0828,2351.7473,5051612400,60911360832.0000,3,1.076250,1,-0.334441,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000066,2271.0041,2326.7592,2268.0848,2280.1554,4959799200,58455616049.0000,3,1.056687,1,-3.044200,0.000000,0.000000,0.000000,0.000000,0
