date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000067,9575.9197,9709.1758,9552.3824,9706.3361,2144247400,77118703445.0000,3,1.041340,1,0.815834,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000067,9746.9922,9869.7407,9659.3871,9866.8057,2239358200,79456930386.0000,3,1.087518,1,1.653246,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000067,9851.7592,9939.0067,9731.6274,9738.9579,2909872700,89697944480.0000,3,1.413145,1,-1.295736,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000067,9653.0171,9702.9492,9426.8239,9634.6778,2662668000,86165237418.0000,3,1.293093,1,-1.070752,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000067,9666.8352,9722.9839,9506.9410,9507.8897,2243059900,80782920411.0000,3,1.089315,1,-1.315956,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000067,9546.3877,9770.1071,9482.2478,9740.7384,2059872700,76127536370.0000,3,0.959698,1,2.449005,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000067,9785.2517,10074.4481,9774.7863,10061.4577,2335262000,83969192708.0000,3,1.134092,1,3.292556,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000067,10079.1776,10247.2874,9989.9531,10209.1466,2218811800,82357968738.0000,3,1.077539,1,1.467868,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000067,10445.5289,10464.4309,10220.3069,10281.5274,2976314000,99513245157.0000,3,1.386634,1,0.708980,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000067,10213.5846,10273.2146,9981.5158,10247.4198,2979250100,90774735611.0000,3,1.446516,1,-0.331737,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000067,10284.0755,10359.4917,10021.0541,10021.1763,3909277300,106842713357.0000,3,1.821292,1,-2.207809,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000067,9887.3020,10060.1400,9852.1555,9907.2280,2940331000,83149530506.0000,3,1.427383,1,-1.137075,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000067,9919.0374,9981.8105,9595.2197,9698.0235,3075305200,99721899830.0000,3,1.492906,1,-2.111635,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000067,9807.8736,9821.3281,9624.0013,9648.3281,2674342500,79782643462.0000,3,1.298259,1,-0.512428,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000067,9395.0672,9566.1431,9362.8917,9436.4913,2648797700,81867735772.0000,3,1.285858,1,-2.195580,0.000000,0.000000,0.000000,0.000000,0
