date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000068,2006.9911,2020.9798,1984.0302,2018.9417,2785895500,28319521620.0000,3,0.618524,1,0.324661,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000068,2031.2092,2055.0971,2009.8706,2050.1609,2852245800,30638832880.0000,3,0.633255,1,1.546315,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000068,2036.6637,2109.2181,2034.4110,2079.7059,3395226000,35860239177.0000,3,0.753807,1,1.441106,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000068,2073.0904,2081.4823,1998.3593,2034.8504,3349542000,34083718258.0000,3,0.743665,1,-2.156819,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000068,2027.3492,2039.4705,1952.8048,1952.8048,2916402300,31028656405.0000,3,0.647222,1,-4.032021,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000068,1966.1385,2016.4191,1946.7139,2010.0841,2568232200,25978498338.0000,3,0.562930,1,2.933181,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000068,2023.3248,2095.1551,2023.2237,2088.3664,2879372500,28976976197.0000,3,0.638714,1,3.894479,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000068,2091.8414,2144.7185,2078.7011,2134.1040,3223340200,35689378515.0000,3,0.715014,1,2.190114,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000068,2263.7237,2287.6570,2254.6522,2287.4294,5370836300,49892894654.0000,3,1.176705,1,7.184533,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000068,2282.1235,2349.8245,2257.3578,2340.6206,5973750600,65739595656.0000,3,1.325122,1,2.325370,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000068,2397.5320,2528.4048,2397.5320,2439.5834,8051867900,86544387729.0000,3,1.764096,1,4.228058,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000068,2414.5265,2470.7642,2404.1416,2425.4426,6441472400,72163092566.0000,3,1.428741,1,-0.579640,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000068,2422.1618,2451.6512,2318.4786,2336.0836,5504766300,61935914835.0000,3,1.220977,1,-3.684235,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000068,2404.0044,2411.3344,2317.9864,2327.6222,4755973900,50863043574.0000,3,1.054882,1,-0.362205,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000068,2232.5300,2293.7268,2230.3861,2241.1747,4594149100,47776092889.0000,3,1.018986,1,-3.713983,0.000000,0.000000,0.000000,0.000000,0
