date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000069,8421.8236,8509.2159,8382.3791,8443.2495,1168267200,59754983624.0000,3,0.810768,1,0.517670,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000069,8490.2632,8718.4966,8412.3953,8714.2808,1512740400,70185943910.0000,3,1.049812,1,3.210035,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000069,8708.8079,8771.7321,8656.9796,8701.9156,1393308200,68421013494.0000,3,0.966929,1,-0.141896,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000069,8638.4876,8744.0682,8540.4807,8642.7163,1278833000,69055232221.0000,3,0.887477,1,-0.680302,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000069,8698.0765,8875.1412,8638.5047,8751.3128,1214396100,67695185908.0000,3,0.842759,1,1.256509,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000069,8785.7364,8928.3019,8707.0097,8895.3483,1297594000,67482289444.0000,3,0.864676,1,1.645873,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000069,8928.3486,9123.1873,8880.8599,9113.1894,1344658500,68339125225.0000,3,0.933059,1,2.448933,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000069,9144.8630,9389.8859,9127.9692,9371.5018,1479847200,83632562756.0000,3,1.026848,1,2.834490,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000069,9489.7140,9517.4788,9052.3116,9107.7292,1718439100,94881424592.0000,3,1.145095,1,-2.814625,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000069,9057.0639,9124.4754,8798.3334,9072.7126,1616068800,83043880019.0000,3,1.121370,1,-0.384471,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000069,9098.5354,9098.5354,8583.6211,8587.5123,1942428000,99593186674.0000,3,1.347827,1,-5.347908,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000069,8459.9855,8632.5110,8455.1872,8522.5711,1514986800,75842090989.0000,3,1.051231,1,-0.756228,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000069,8547.4172,8555.9680,8132.1190,8216.1383,1507108200,86373368154.0000,3,1.045764,1,-3.595544,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000069,8288.4226,8296.4296,8131.9971,8184.2058,1171893400,63884033117.0000,3,0.812133,1,-0.388656,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000069,7975.9293,8112.8650,7882.4933,8007.8171,1284509200,69985101437.0000,3,0.890177,1,-2.155233,0.000000,0.000000,0.000000,0.000000,0
