date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000071,3437.2958,3511.2449,3412.1155,3504.9856,3977990500,46804498175.0000,3,1.581888,1,2.174361,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000071,3513.6052,3559.8052,3475.0481,3555.8744,3624934800,47404602686.0000,3,1.441492,1,1.451898,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000071,3540.9968,3643.5757,3527.3575,3584.0286,5812363300,58207673367.0000,3,2.311345,1,0.791766,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000071,3575.0420,3591.1094,3474.9484,3521.2670,4671341200,50946555103.0000,3,1.857606,1,-1.751147,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000071,3521.5783,3538.7489,3402.1529,3402.1529,3966069400,49370544690.0000,3,1.577147,1,-3.382706,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000071,3418.0540,3541.1495,3405.2056,3528.2678,3708369100,44846689822.0000,3,1.382897,1,3.706915,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000071,3556.8573,3660.0964,3556.8573,3655.2412,3670951200,48259280654.0000,3,1.444785,1,3.598746,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000071,3657.6490,3736.6373,3637.4086,3725.2554,4021721000,52445278287.0000,3,1.582838,1,1.915447,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000071,3897.3106,3925.4667,3827.7510,3885.0165,5661100500,68195191847.0000,3,2.090732,1,4.288595,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000071,3872.7701,3915.7367,3784.3312,3903.9790,6735411100,82463774285.0000,3,2.650871,1,0.488093,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000071,3988.2739,4111.9746,3988.2739,4023.0181,9731603200,104210940591.0000,3,3.830089,1,3.049174,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000071,3983.6734,4054.3687,3965.7374,3984.6566,9317461500,90733829603.0000,3,3.666602,1,-0.953550,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000071,3983.1000,4021.6853,3828.9559,3860.4839,8262736900,85757908851.0000,3,3.251548,1,-3.116271,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000071,3955.4391,3969.6694,3871.2719,3883.5639,8126634800,72739255731.0000,3,3.197989,1,0.597853,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000071,3747.9228,3821.1342,3722.0229,3741.7161,7209211400,66161426892.0000,3,2.836965,1,-3.652516,0.000000,0.000000,0.000000,0.000000,0
