date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000078,2356.9697,2371.0057,2334.2038,2350.4209,338705800,8092820485.0000,3,0.673999,1,-0.880709,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000078,2364.8678,2381.1494,2351.7615,2375.4665,289920700,7097052628.0000,3,0.576920,1,1.065579,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000078,2373.1299,2374.2933,2316.6651,2318.0267,387462800,7128400302.0000,3,0.769648,1,-2.418043,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000078,2306.4481,2310.0719,2246.4208,2295.2216,421001900,7731409494.0000,3,0.836270,1,-0.983815,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000078,2298.3749,2339.9875,2285.8008,2285.8008,285755200,6146435343.0000,3,0.567618,1,-0.410453,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000078,2298.4666,2308.6461,2278.4318,2287.3942,268266200,6461912976.0000,3,0.537030,1,0.069709,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000078,2290.1540,2346.3687,2273.5589,2334.1333,302244700,6576296820.0000,3,0.600373,1,2.043334,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000078,2327.4490,2353.7327,2315.0939,2350.8303,278864800,6417316771.0000,3,0.553932,1,0.715340,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000078,2377.2543,2397.7701,2370.9893,2379.7351,436299700,6947574471.0000,3,0.873409,1,1.229557,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000078,2376.6481,2425.3838,2368.6809,2424.4740,430569500,6460546333.0000,3,0.855275,1,1.879995,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000078,2427.4916,2456.7718,2397.5402,2398.3214,673941200,9218667753.0000,3,1.349133,1,-1.078692,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000078,2388.1303,2417.7436,2368.5683,2396.3192,436147700,6512180408.0000,3,0.866355,1,-0.083483,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000078,2392.3196,2425.8839,2363.4609,2383.9725,360200000,5886879190.0000,3,0.715494,1,-0.515236,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000078,2407.7296,2415.1783,2386.3628,2388.9091,388357400,6231537297.0000,3,0.771425,1,0.207075,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000078,2353.5782,2415.4968,2351.5492,2410.7186,395877600,6344259763.0000,3,0.786363,1,0.912948,0.000000,0.000000,0.000000,0.000000,0
