date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000090,1368.5940,1381.2257,1365.5727,1380.8620,26277082500,339771099962.0000,3,0.716983,1,0.775391,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000090,1383.2562,1394.4356,1376.5027,1393.7916,25150930200,354295113721.0000,3,0.690227,1,0.936343,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000090,1392.3539,1399.4078,1383.9702,1388.5424,28187669900,382006072229.0000,3,0.773413,1,-0.376613,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000090,1382.9621,1391.7729,1366.6798,1382.0840,28226751800,387230289888.0000,3,0.774484,1,-0.465121,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000090,1386.0415,1395.6580,1378.3748,1379.5658,27399632400,366396412309.0000,3,0.749619,1,-0.182203,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000090,1383.2326,1400.2685,1378.2414,1396.3582,23568128500,331448644081.0000,3,0.640569,1,1.217224,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000090,1399.7329,1425.5662,1394.8871,1425.3899,23739459700,342530009345.0000,3,0.648934,1,2.079101,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000090,1428.9410,1448.9366,1427.8074,1445.5193,24411760000,363549572818.0000,3,0.667267,1,1.412203,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000090,1472.3740,1476.4959,1448.9448,1455.1240,32341784500,450900033081.0000,3,0.878227,1,0.664446,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000090,1450.1337,1466.5777,1438.3200,1465.0007,34451186100,453955472840.0000,3,0.941272,1,0.678753,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000090,1469.8672,1474.3313,1439.4002,1439.4002,46738107200,565079544046.0000,3,1.268781,1,-1.747474,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000090,1428.3841,1452.4142,1428.3841,1437.4628,38112901900,449939780043.0000,3,1.041174,1,-0.134598,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000090,1438.4398,1442.1999,1394.9002,1408.4760,34550664100,454057243046.0000,3,0.943858,1,-2.016525,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000090,1422.4527,1426.8572,1410.2596,1416.0036,34599736600,414321440868.0000,3,0.945150,1,0.534450,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000090,1386.8269,1402.8877,1381.9751,1384.9128,31580024700,396185486874.0000,3,0.862635,1,-2.195672,0.000000,0.000000,0.000000,0.000000,0
