date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000092,3210.9823,3293.7655,3181.9303,3288.0710,3883365500,48591651564.0000,3,0.823823,1,2.490883,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000092,3306.5769,3356.4192,3266.2333,3352.9316,3571469500,48126124710.0000,3,0.757657,1,1.972603,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000092,3339.9023,3448.2303,3332.4279,3387.1574,4420609300,57124054790.0000,3,0.937795,1,1.020772,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000092,3377.5778,3413.2126,3293.6573,3345.6198,4196378500,53323550080.0000,3,0.890226,1,-1.226326,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000092,3344.3112,3352.0636,3188.2744,3188.8532,3701358900,50702204775.0000,3,0.785212,1,-4.685727,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000092,3202.3943,3334.0677,3195.0811,3318.3461,3425571800,44228860798.0000,3,0.728468,1,4.060798,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000092,3354.6497,3466.3422,3354.4732,3461.7722,3608477100,48015986221.0000,3,0.761290,1,4.322216,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000092,3466.6478,3566.5711,3448.4953,3551.5924,3894604800,53567768668.0000,3,0.821655,1,2.594631,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000092,3751.4285,3774.3368,3681.8148,3737.3867,6078906500,73559154787.0000,3,1.285574,1,5.231296,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000092,3724.4163,3774.3154,3615.8497,3742.2044,6741056500,87394061109.0000,3,1.422178,1,0.128906,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000092,3822.5026,3945.2573,3822.5026,3840.9775,9007686500,110878497610.0000,3,1.900375,1,2.639436,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000092,3799.2099,3862.5118,3742.3382,3770.4485,7242486700,91448324165.0000,3,1.527856,1,-1.836225,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000092,3772.2334,3793.2805,3587.6493,3621.5390,6434264200,84975182494.0000,3,1.357334,1,-3.949384,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000092,3726.2110,3735.3256,3605.5576,3617.9749,5711206200,69208635083.0000,3,1.204791,1,-0.098414,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000092,3486.6080,3555.3880,3456.6256,3482.1365,5457594500,65907761542.0000,3,1.151288,1,-3.754542,0.000000,0.000000,0.000000,0.000000,0
