date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000095,3552.7809,3612.8903,3546.3625,3611.7435,5768303200,96428682772.0000,3,1.041280,1,1.314333,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000095,3627.1506,3659.3352,3594.1353,3657.6436,5346336100,98023749506.0000,3,0.964649,1,1.270857,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000095,3663.8004,3678.4515,3623.9235,3624.3994,7605662400,109331063778.0000,3,1.371006,1,-0.908897,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000095,3600.5320,3625.0594,3537.5008,3604.5104,7042237500,112334685879.0000,3,1.269442,1,-0.548753,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000095,3617.7321,3636.8662,3538.8127,3540.1233,5884407900,105050800992.0000,3,1.060731,1,-1.786293,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000095,3551.0871,3633.6076,3524.4310,3625.8705,5346511800,97251496077.0000,3,0.978680,1,2.422153,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000095,3646.1242,3747.2515,3645.1986,3746.6167,5549628900,105305566379.0000,3,0.995800,1,3.330130,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000095,3754.5802,3801.1181,3720.9709,3787.4009,5295166700,100407615779.0000,3,0.950140,1,1.088561,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000095,3881.4705,3893.0748,3809.4358,3823.5342,7391075700,122779352066.0000,3,1.346989,1,0.954039,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000095,3807.5548,3827.4047,3724.0295,3814.6221,7954164700,121122704545.0000,3,1.426865,1,-0.233085,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000095,3832.8620,3865.5656,3748.5285,3748.5285,11652547800,148417386793.0000,3,2.090228,1,-1.732638,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000095,3713.0814,3781.1444,3709.6888,3732.8128,10355443600,119466298986.0000,3,1.857555,1,-0.419250,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000095,3741.0988,3768.2420,3624.2049,3666.9330,9575134000,127866361849.0000,3,1.717583,1,-1.764884,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000095,3715.4703,3730.1272,3676.1828,3688.1159,10198148200,115520284606.0000,3,1.829339,1,0.577673,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000095,3595.5236,3653.0801,3583.7041,3602.2075,8457091600,105831490031.0000,3,1.517029,1,-2.329330,0.000000,0.000000,0.000000,0.000000,0
