date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000103,13929.8882,14145.2115,13929.8882,14062.1653,608748700,37606186456.0000,3,0.894784,1,1.500716,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000103,14125.0576,14460.8069,13970.3921,14445.0524,865629200,44066625124.0000,3,1.272320,1,2.722818,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000103,14404.8932,14569.7701,14349.4417,14441.4867,710236900,41410984116.0000,3,1.043921,1,-0.024685,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000103,14355.6027,14572.9733,14119.4437,14270.3313,745054400,46690686921.0000,3,1.095097,1,-1.185165,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000103,14331.4435,14672.3614,14238.8626,14487.9096,670991400,42623567562.0000,3,0.986238,1,1.524690,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000103,14528.9780,14780.3506,14476.8392,14731.2673,714405800,43137831995.0000,3,1.018160,1,1.679730,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000103,14765.9419,15124.7168,14696.4657,15073.5966,699905600,40809015479.0000,3,1.028736,1,2.323828,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000103,15128.6670,15597.2945,15128.0227,15566.6147,814528800,56416574637.0000,3,1.197167,1,3.270740,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000103,15739.9177,15773.8031,15114.3674,15228.2362,976869600,64509291020.0000,3,1.392169,1,-2.173745,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000103,15149.5423,15274.8889,14727.0757,15208.5286,852239000,52322438827.0000,3,1.252592,1,-0.129415,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000103,15214.8886,15214.8886,14441.1269,14444.7354,973502200,65318631306.0000,3,1.387370,1,-5.022137,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000103,14218.4927,14506.9030,14202.0311,14343.6568,804165300,50491376747.0000,3,1.181935,1,-0.699761,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000103,14347.0934,14367.2249,13636.8827,13771.7769,796851900,60259493387.0000,3,1.171184,1,-3.986988,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000103,13864.8787,13883.4078,13581.8484,13670.7391,641499600,44392047318.0000,3,0.942854,1,-0.733658,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000103,13370.0632,13531.5054,13155.1708,13309.9894,704786000,49572605809.0000,3,1.035871,1,-2.638846,0.000000,0.000000,0.000000,0.000000,0
